char,virtual_code_hex,physical_code_hex,physical_index,row,column,plane,source_x,source_y,provenance
획,EA 91,E9 13,1697,20,4,1,48,240,v72_low_page_relocation
효,EA 92,E9 14,1698,20,4,2,48,240,v72_low_page_relocation
흑,EA 93,E9 15,1699,20,4,3,48,240,v72_low_page_relocation
흡,EA 94,E9 16,1701,20,5,1,60,240,v72_low_page_relocation
희,EA 95,E9 17,1702,20,5,2,60,240,v72_low_page_relocation
히,EA 96,E9 18,1703,20,5,3,60,240,v72_low_page_relocation
힐,EA 97,E9 19,1705,20,6,1,72,240,v72_low_page_relocation
M,EA 98,E9 1A,1706,20,6,2,72,240,v72_low_page_relocation
P,EA 99,E9 1B,1707,20,6,3,72,240,v72_low_page_relocation
L,EA 9A,E9 1C,1317,15,14,1,168,180,v71_preserved_runtime_mapping
V,EA 9B,E9 1D,3308,39,8,0,96,468,v42_sparse_extension
