음절,상태,등장,단어수,단어,원문,현재 번역,대체안,보류 사유
므,검토필요,9,2,저장되므로(6) 않으므로(3),チョピン  / アイテム投げは反撃されないので / 強い敵でも安全な攻撃手段です。,초핀: 아이템 던지기는 반격당하지 않으므로 강한 적에게도 안전한 공격 수단입니다.,,
볼,검토필요,9,3,볼(7) 볼래(1) 볼일이(1),チョピン  / バトル中に、自分のターンで / スタートボタンをおすと / ステータスを見れますよね。,초핀: 전투 중 자신의 턴에 스타트 버튼을 누르면 스테이터스를 볼 수 있지요.,,
참,검토필요,9,6,참가하시겠습니까(3) 참가자(2) 참배하고(1) 참을(1) 참가해야(1),兵士  / あの、それならば、王のはかにお参りしていつてくれませんか？,"병사: 저, 그러시다면 왕의 묘에 참배하고 가 주시겠습니까?",,
찬,검토필요,10,4,칭찬해(5) 마찬가지로(3) 찬탈을(1) 찬(1),チョピン  / 特しゅ攻撃もアイテムを投げるのと同じく絶対に敵の反撃を受けない攻撃手段です。,초핀: 특수 공격도 아이템을 던지는 것과 마찬가지로 절대로 적의 반격을 받지 않는 공격 수단입니다.,,
급,검토필요,10,5,등급을(6) 급한(1) 취급하지(1) 취급할(1) 급격한(1),チョピン  / ラマダ寺では、ランクを設けて修行を行つているようですが、その全てを終えると手に入るアクセサリーがあるようです。,"초핀: 라마다사에서는 등급을 두고 수행을 하고 있는 모양인데, 그것을 모두 끝내면 얻을 수 있는 액세서리가 있는 모양입니다.",,
술,검토필요,10,9,술의(2) 술주정뱅이는(1) 술주정뱅이가(1) 부술(1) 술(1),兵士  / 何だ、このヨッパライは！？,"병사: 뭐야, 이 술주정뱅이는!?",,
왠,검토필요,11,1,왠지(11),なんだか、ちょつとやる気に / なつてきたな。,왠지 조금 의욕이 나기 시작했어.,,
통,검토필요,11,2,통하는(6) 통하지(5),地下へ通じる道なら / 倉庫か牢屋しか / 考えられないなっ。,지하로 통하는 길이라면 창고나 감옥밖에는 생각할 수 없겠군.,,
액,검토필요,11,2,액세서리가(6) 액세서리도(5),チョピン  / なかには、モンスターに守られた、 / あそこにしかないアクセサリーもあると / 聞きます。,"초핀: 그 안에는 몬스터가 지키고 있는, 그곳에서만 얻을 수 있는 액세서리도 있다고 들었습니다.",,
낙,검토필요,11,3,낙오자는(5) 낙오자라니(5) 낙오자다(1),チョピン  / きつと、 / すぐやられてしまう落ちこぼれは / いなくなりますよ。,초핀: 그러면 금방 당해 버리는 낙오자는 없어질 겁니다.,,
영,검토필요,12,11,영혼의(2) 영감은(1) 영혼이지(1) 환영합니다(1) 번영하는(1),何だこのじじいはつ！,"뭐야, 이 영감은!",,
벨,검토필요,14,2,레벨(13) 레벨에(1),乗員  / この場所のモンスターはゲームが進んでも変わらないので、鍛えたい人のレベルに / 合わせて場所を選ベます。,"승무원: 이곳의 몬스터는 게임이 진행되어도 변하지 않으니, 단련하고 싶은 사람의 레벨에 맞춰 장소를 고를 수 있습니다.",,
듣,검토필요,14,7,듣는(6) 듣도록(2) 듣고(2) 듣기(1) 듣고서야(1),きくのふ / よいがさめちまつたわい,듣기 좋구먼. 잠이 확 깨버렸어.,,
축,검토필요,16,1,축하합니다(16),おめでとうございます！,축하합니다!,,
톤,검토필요,16,3,스톤(14) 톤(1) 스켈레톤(1),チョピン  / ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,,
빛,검토필요,17,4,빛의(14) 햇빛도(1) 빛나고(1) 빛깔은(1),ベみの精霊  / 光の精霊は5大精霊のなかでも / 一番人聞に理解のある精霊です。,베미의 정령: 빛의 정령은 다섯 대정령 가운데서도 가장 인간을 이해하는 정령입니다.,,
클,검토필요,17,4,서클에(7) 서클에서만(6) 클라프(3) 서클에서(1),チョピン  / ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,,
욕,검토필요,17,9,의욕이(5) 욕망을(2) 욕망에(2) 욕망이(2) 욕망은(2),なんだか、ちょつとやる気に / なつてきたな。,왠지 조금 의욕이 나기 시작했어.,,
겐,검토필요,18,2,고겐(17) 고겐도(1),チョピン  / ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,,
료,검토필요,19,7,동료가(13) 동료(1) 동료나(1) 동료들을(1) 동료라고(1),アーク、心配せんでいい。 / こやつも定められた仲聞の1人。,"아크, 걱정하지 마. 이 녀석도 정해진 동료 중 한 명이야.",,
개,검토필요,21,7,개라고(6) 개방하고(5) 개조(3) 개(2) 개를(2),兵士1  / くわしくはしらんが / 大臣の発令したパレンシア改造計画に / たてついたらしい。,"병사1: 자세히는 모르지만, 대신이 발령한 팔렌시아 개조 계획에 맞섰다는군.",,
표,검토필요,24,2,목표로(23) 표하겠다(1),よし、次はグレイシーヌを目指して出発だ！,"좋아, 다음은 그레이시느를 목표로 출발이다!",,
캬,검토필요,25,1,캬캬캬캬캬(5),もちろん、手に入れた後はわしにまかせんしゃい。 / キャッキャッキャッキャッ。,물론 손에 넣은 뒤에는 나에게 맡기거라. 캬캬캬캬캬.,,
석,검토필요,27,20,녀석은(3) 녀석도(2) 녀석(2) 녀석이(2) 녀석들은(2),兵士1  / えらくうでが立つヤツらしいが・・。,병사: 굉장히 실력이 뛰어난 녀석이라는군...,,
베,검토필요,59,8,베미의(50) 베어(2) 에릴베를(2) 에릴베는(1) 베미가(1),チョピン  / トヨーケの森のベみの精霊を / おぼえていますか？,초핀: 토요케 숲의 베미의 정령을 기억하십니까?,,
