행번호,파일,오프셋,안 들어간 이유,원문,디스크 (지금 게임),CSV,수정안
827,31/S3014.DAT,0x4852A,슬롯 부족 / 창 넘침,"チョピン 
ゴーゲン様のキートウオールの魔法の火に<G:90>大きい爆弾<G:89>を投げ込むと大爆発が
起こるそうです。",(일본어 그대로),초핀: 고겐 님의 키토우올 마법의 불에 큰 폭탄을 던져 넣으면 대폭발이 일어난다고 합니다.,초핀: 고겐 님의 키토우올 마법의 불에 큰 폭탄을 던져 넣으면 대폭발이 일어난다고 합니다.
828,31/S3014.DAT,0x4859E,슬롯 부족 / 창 넘침,"チョピン 
モンスターの多いところで使つてみては
どうでしょう。",(일본어 그대로),초핀: 몬스터가 많은 곳에서 써 보시는 건 어떻겠습니까?,초핀: 몬스터가 많은 곳에서 써 보시는 건 어떻겠습니까?
830,31/S3014.DAT,0x4866E,슬롯 부족 / 창 넘침,"チョピン 
ただ、ラマダ寺でもらえるわけではないようですが・・・。",(일본어 그대로),초핀: 라마다 사원에서 직접 주는 것은 아닌 듯하지만…,초핀: 라마다 사원에서 직접 주는 것은 아닌 듯하지만…
831,31/S3014.DAT,0x486CA,글자없음: 씩,"チョピン 
ロマンシングストーンのある場所がわかりました。1つはスメリアのトウヴィル
1つはアララトスの遺跡ダンジョン、",(일본어 그대로),"초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 아라라토스 유적 던전에 하나씩,","초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 아라라토스 유적 던전에 하나씩,"
832,31/S3014.DAT,0x4873E,슬롯 부족 / 창 넘침,"チョピン 
1つはゴーゲン様が、最後の1つはアークさんの父上が持つてらつしゃつたみたいですね。",(일본어 그대로),"초핀: 고겐 님께 하나, 마지막은 아크 님의 아버님이 가지고 계셨다고 합니다.","초핀: 고겐 님께 하나, 마지막은 아크 님의 아버님이 가지고 계셨다고 합니다."
833,31/S3014.DAT,0x487A8,슬롯 부족 / 창 넘침,"チョピン 
戦闘での経験値が倍なるアクセサリーがあるようです。名前は<G:90>きぬのおび<G:89>。
誰でも使えるようですね。",(일본어 그대로),초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.
862,31/S3022.DAT,0x48822,선택지(E5),"兵士 
出発なさいますか？
<CTRL:E5:03>出発する
<CTRL:E5:03>やつっりやめる",병사:,병사: 출발하시겠습니까?|출발한다|그만둔다,병사: 출발하시겠습니까?|출발한다|그만둔다
908,31/S3024.DAT,0x46096,슬롯 부족 / 창 넘침,"兵士 
この国は20年前、スメリアと戦争してたんだ。",<DFDF><DFE0>년 전|스메리아와 전쟁,병사|20년 전|스메리아와 전쟁,병사|20년 전|스메리아와 전쟁
915,31/S3024.DAT,0x46308,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론|군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
917,31/S3024.DAT,0x463A6,슬롯 부족 / 창 넘침,"子供 
あつ、ぐりーんすらいむばすたーのおにいちゃんだ。",(일본어 그대로),"아이: 앗, 그린 슬라임 버스터 형이다.","아이: 앗, 그린 슬라임 버스터 형이다."
918,31/S3024.DAT,0x463FE,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인 괴물 뒤론 군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
920,31/S3024.DAT,0x4649C,슬롯 부족 / 창 넘침,"子供 
あつ、
えれめんたるばすたーのおにいちゃんだ。",엘리멘털 버스터다<E060>,아이|앗! 엘리멘털 버스터 형이다.,아이|앗! 엘리멘털 버스터 형이다.
921,31/S3024.DAT,0x464F2,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론 군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
923,31/S3024.DAT,0x46590,슬롯 부족 / 창 넘침,"子供 
あつ、
どーるますたーばすたーのおにいちゃんだ",돌 마스터 버스터다<E060>,아이|앗! 돌 마스터 버스터 형이다.,아이|앗! 돌 마스터 버스터 형이다.
924,31/S3024.DAT,0x465E6,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론|군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
927,31/S3024.DAT,0x466DE,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론|군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
929,31/S3024.DAT,0x4677C,슬롯 부족 / 창 넘침,"子供 
あつ、
ふりーじーばすたーのおにいちゃんだ。",프리지 버스터다<E060>,아이|앗! 프리지 버스터 형이다.,아이|앗! 프리지 버스터 형이다.
930,31/S3024.DAT,0x467D2,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론|군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
933,31/S3024.DAT,0x468C8,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론|군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
934,31/S3024.DAT,0x4691E,슬롯 부족 / 창 넘침,"老人 
それが決して安くないんじゃよ。",노인|싸<28> 않다네<E060>,노인|그게 결코 싸지 않다네.,노인|그게 결코 싸지 않다네.
935,31/S3024.DAT,0x46966,슬롯 부족 / 창 넘침,"子供 
あつ、
ばんばいやばつとばすたーのおにいちゃんだ。",뱀파이어 배트 버스터다<E060>,아이|앗! 뱀파이어 배트 버스터다.,아이|앗! 뱀파이어 배트 버스터다.
936,31/S3024.DAT,0x469BE,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론|군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
937,31/S3024.DAT,0x46A14,슬롯 부족 / 창 넘침,"老人 
それが決して安くないんじゃよ。",노인|싸<28> 않다네<E060>,노인|그게 결코 싸지 않다네.,노인|그게 결코 싸지 않다네.
938,31/S3024.DAT,0x46A5C,슬롯 부족 / 창 넘침,"子供 
あつ、
ですふれいむばすたーのおにいちゃんだ。",데스 플레임 버스터다<E060>,아이|앗! 데스 플레임 버스터다.,아이|앗! 데스 플레임 버스터다.
939,31/S3024.DAT,0x46AB2,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론|군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
940,31/S3024.DAT,0x46B08,슬롯 부족 / 창 넘침,"老人 
それが決して安くないんじゃよ。",노인|싸<28> 않다네<E060>,노인|그게 결코 싸지 않다네.,노인|그게 결코 싸지 않다네.
941,31/S3024.DAT,0x46B50,슬롯 부족 / 창 넘침,"子供 
あつ、
どうけしばすたーのおにいちゃんだ。",광대 버스터다<E060>,아이|앗! 광대 버스터 형이다.,아이|앗! 광대 버스터 형이다.
942,31/S3024.DAT,0x46BA4,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론|군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
943,31/S3024.DAT,0x46BFA,슬롯 부족 / 창 넘침,"老人 
それが決して安くないんじゃよ。",노인|싸<28> 않다네<E060>,노인|그게 결코 싸지 않다네.,노인|그게 결코 싸지 않다네.
944,31/S3024.DAT,0x46C42,슬롯 부족 / 창 넘침,"子供 
あつ、
あしつどすらいむばすたーのおにいちゃんだ。",애시<50> 슬라임 버스터다<E060>,아이|앗! 애시드 슬라임 버스터다.,아이|앗! 애시드 슬라임 버스터다.
945,31/S3024.DAT,0x46C9A,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론|군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
946,31/S3024.DAT,0x46CF0,슬롯 부족 / 창 넘침,"老人 
それが決して安くないんじゃよ。",노인|싸<28> 않다네<E060>,노인|그게 결코 싸지 않다네.,노인|그게 결코 싸지 않다네.
947,31/S3024.DAT,0x46D38,슬롯 부족 / 창 넘침,"子供 
あつ、
えれめんたるますたーばすたーのおにいちゃんだ。",엘리멘털 마스터 버스터다<E060>,아이|앗! 엘리멘털 마스터 버스터다.,아이|앗! 엘리멘털 마스터 버스터다.
948,31/S3024.DAT,0x46D92,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론|군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
949,31/S3024.DAT,0x46DE8,슬롯 부족 / 창 넘침,"老人 
それが決して安くないんじゃよ。",노인|싸<28> 않다네<E060>,노인|그게 결코 싸지 않다네.,노인|그게 결코 싸지 않다네.
950,31/S3024.DAT,0x46E30,슬롯 부족 / 창 넘침,"子供 
あつ、もうあいてがいなくなつたんだね。すごくつよいんだ。これあげる。",상대<E0C0> 사라졌네<E060>|대단해<E060> 이<B0> 줄게<E060>,아이|상대가 사라졌네.|대단해. 이거 줄게.,아이|상대가 사라졌네.|대단해. 이거 줄게.
951,31/S3024.DAT,0x46EA8,슬롯 부족 / 창 넘침,<G:90>女神のいのり<G:89>をもらいました。,(일본어 그대로),여신의 기도를 받았습니다.,여신의 기도를 받았습니다.
952,31/S3024.DAT,0x46EF6,슬롯 부족 / 창 넘침,"老人 
モンスターが出てから、食ベ物は軍からかわなきゃならん。",노인|괴물 뒤론 군 식량을 사야 해<E060>,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.,노인|괴물 출몰 뒤론|군에서 식량을 사야 해.
953,31/S3024.DAT,0x46F4C,슬롯 부족 / 창 넘침,"老人 
それが決して安くないんじゃよ。",,노인|그게 결코 싸지 않다네.,노인|그게 결코 싸지 않다네.
956,31/S3024.DAT,0x47064,슬롯 부족 / 창 넘침,"男 
今じゃ、モンスターの住みかになつてしまつた。",이젠 괴물 소굴입니다<E060>,남자|이젠 괴물 소굴이 됐습니다.,남자|이젠 괴물 소굴이 됐습니다.
957,31/S3024.DAT,0x470B8,슬롯 부족 / 창 넘침,"男 
もうやりたいほうだいですよ。
ひゃひゃひゃひゃひゃつ。",남자|이젠 제멋대로죠<E060>|히히히<DFE3>,남자|이제 제멋대로입니다.|히히히히!,남자|이제 제멋대로입니다.|히히히히!
958,31/S3024.DAT,0x476B8,슬롯 부족 / 창 넘침,"兵士 
おはいりください。",들어<E0C0>시오<E060>,병사|들어가십시오.,병사|들어가십시오.
964,31/S3024.DAT,0x48280,슬롯 부족 / 창 넘침,<CTRL:E8:10>のダメージ,(일본어 그대로),의 대미지,의 대미지
1005,32/S3051.DAT,0x48DB0,슬롯 부족 / 창 넘침,"兵士 
連れすついて来てください。",(일본어 그대로),병사: 계속 따라와 주십시오.,병사: 계속 따라와 주십시오.
1181,4/S4033.DAT,0x47CDC,선택지(E5),"<G:90>次の精霊はグレイシーヌに<G:89>
よみますか？
<CTRL:E5:03>よむ
<CTRL:E5:03>よまない",다음 정령은 그레이시누로,다음 정령은 그레이시누에 있다. 읽으시겠습니까?|읽는다|읽지 않는다,다음 정령은 그레이시누에 있다. 읽으시겠습니까?|읽는다|읽지 않는다
1212,4/S4033.DAT,0x48768,슬롯 부족 / 창 넘침,"かもしれない<CTRL:E4:29>じゃないよ。
どうせなにもないんだろ。",(일본어 그대로),있을지도 모른다가 아니야. 어차피 아무것도 없겠지.,있을지도 모른다가 아니야. 어차피 아무것도 없겠지.
1215,4/S4034.DAT,0x47D30,선택지(E5),"<G:90>次の精霊はカーデルに<G:89>
よみますか？
<CTRL:E5:03>よむ
<CTRL:E5:03>よまない",다음 정령은 카델로,다음 정령은 카데르에게. 읽으시겠습니까?|읽는다|읽지 않는다,다음 정령은 카데르에게. 읽으시겠습니까?|읽는다|읽지 않는다
1245,4/S4035.DAT,0x47D30,선택지(E5),"<G:90>次の精霊はアリバーシャに<G:89>
よみますか？
<CTRL:E5:03>よむ
<CTRL:E5:03>よまない",다음 정령은 아리바로,다음 정령은 아리바샤에게. 읽으시겠습니까?|읽는다|읽지 않는다,다음 정령은 아리바샤에게. 읽으시겠습니까?|읽는다|읽지 않는다
1271,4/S4036.DAT,0x47CDC,선택지(E5),"<G:90>最後の精霊はスメリアに<G:89>
よみますか？
<CTRL:E5:03>よむ
<CTRL:E5:03>よまない",마지막 정령은 스메리아로,마지막 정령은 스메리아에. 읽으시겠습니까?|읽는다|읽지 않는다,마지막 정령은 스메리아에. 읽으시겠습니까?|읽는다|읽지 않는다
1361,5/S5013.DAT,0x47F80,글자없음: R,"チョピン 
アイテム・アクセサリー・特しゅ能力は、カーソルで選んでいる時にLかRボタンをおすことで、その効果を見れます。",(일본어 그대로),"초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다.","초핀: 아이템, 장신구, 특수 능력은 커서로 고르고 있을 때 L이나 R 버튼을 누르면 그 효과를 볼 수 있습니다."
1362,5/S5013.DAT,0x47FFA,슬롯 부족 / 창 넘침,"チョピン 
特に、特しゅ能力は必要なMPと
現在のMPが表示されるので
大いに利用して下さい。",(일본어 그대로),초핀: 특히 특수 능력은 필요한 MP와 지금 MP가 표시되니 많이 활용해 주십시오.,초핀: 특히 특수 능력은 필요한 MP와 지금 MP가 표시되니 많이 활용해 주십시오.
1379,5/S5013.DAT,0x486BE,슬롯 부족 / 창 넘침,"なんだか、ちょつとやる気に
なつてきたな。",(일본어 그대로),조금 의욕이 나기 시작했어.,조금 의욕이 나기 시작했어.
1380,5/S5013.DAT,0x48706,슬롯 부족 / 창 넘침,"チョピン 
ただし、
ダメージが0の場合はだめですよ。",(일본어 그대로),초핀: 다만 피해가 0인 경우에는 안 됩니다.,초핀: 다만 피해가 0인 경우에는 안 됩니다.
1383,5/S5013.DAT,0x487FC,슬롯 부족 / 창 넘침,"チョピン 
すベての人が攻撃に向いているわけでは
ありません。",(일본어 그대로),초핀: 모든 사람이 공격에 알맞은 것은 아닙니다.,초핀: 모든 사람이 공격에 알맞은 것은 아닙니다.
1385,5/S5013.DAT,0x488B4,슬롯 부족 / 창 넘침,"チョピン 
きつと、
すぐやられてしまう落ちこぼれは
いなくなりますよ。",(일본어 그대로),초핀: 그러면 금방 당해 버리는 낙오자는 없어질 겁니다.,초핀: 그러면 금방 당해 버리는 낙오자는 없어질 겁니다.
1386,5/S5013.DAT,0x48912,슬롯 부족 / 창 넘침,落ちこぼれとは誰のことじゃ？,(일본어 그대로),낙오자라니 누구를 말하는 게냐?,낙오자라니 누구를 말하는 게냐?
1388,5/S5013.DAT,0x489E2,슬롯 부족 / 창 넘침,"チョピン 
アララトスの遺跡ダンジョンは
相当に階層が深いようです。",(일본어 그대로),초핀: 아라라토스의 유적 던전은 층이 상당히 많은것 같습니다.,초핀: 아라라토스의 유적 던전은 층이 상당히 많은것 같습니다.
1391,5/S5013.DAT,0x48AFC,슬롯 부족 / 창 넘침,"そうじゃ、おまえらの力で宝を
どんどん手に入れるんじゃ!",(일본어 그대로),"그래, 너희 힘으로 보물을 손에 넣는 거다!","그래, 너희 힘으로 보물을 손에 넣는 거다!"
1392,5/S5013.DAT,0x48B4E,슬롯 부족 / 창 넘침,"もちろん、手に入れた後はわしにまかせんしゃい。
キャッキャッキャッキャッ。",(일본어 그대로),물론 손에 넣은 뒤에는 나에게 맡기거라. 크크크크크.,물론 손에 넣은 뒤에는 나에게 맡기거라. 크크크크크.
1393,5/S5013.DAT,0x48BAC,슬롯 부족 / 창 넘침,まかせる訳ないでしょ!,(일본어 그대로),맡길 리가 없잖아!,맡길 리가 없잖아!
1394,5/S5013.DAT,0x48BF6,슬롯 부족 / 창 넘침,"チョピン 
トヨーケの森の恵みの精霊を
おぼえていますか？",(일본어 그대로),초핀: 토요케 숲의 은혜의 정령을 기억하십니까?,초핀: 토요케 숲의 은혜의 정령을 기억하십니까?
1395,5/S5013.DAT,0x48C4A,슬롯 부족 / 창 넘침,"チョピン 
彼女はいつも我々を見守つてくれて
います。",(일본어 그대로),초핀: 그녀는 언제나 우리를 지켜봐 주고 있습니다.,초핀: 그녀는 언제나 우리를 지켜봐 주고 있습니다.
1398,5/S5013.DAT,0x48D5A,슬롯 부족 / 창 넘침,やさしいのう。,(일본어 그대로),친절하기도 하군.,친절하기도 하군.
1401,5/S5013.DAT,0x48E64,슬롯 부족 / 창 넘침,弟子達よ・・・・。,(일본어 그대로),제자들아....,제자들아....
1402,5/S5013.DAT,0x48EAC,슬롯 부족 / 창 넘침,"チョピン 
どれについてお話ししましょう？",(일본어 그대로),초핀: 어느 것에 관해 말씀드릴까요?,초핀: 어느 것에 관해 말씀드릴까요?
1403,5/S5013.DAT,0x48F04,선택지(E5),"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣について
<CTRL:E5:03>次のページ",돌 고리 |연결 위치   |<E284><DD7B><DE6E><23><45><1B><21>|다음,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지
1406,5/S5013.DAT,0x4906A,선택지(E5),"<CTRL:E5:03>ポコの楽器
<CTRL:E5:03>闘技場
<CTRL:E5:03>キートウオール
<CTRL:E5:03>次のページ",<E287><1C><DDDF><DE7A>|<E288><4C><89>|불꽃     |다음,|포코의 악기|투기장|키토우올|다음 페이지,|포코의 악기|투기장|키토우올|다음 페이지
1408,5/S5013.DAT,0x49156,슬롯 부족 / 창 넘침,"チョピン 
ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？",(일본어 그대로),초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?
1421,5/S5013.DAT,0x49692,글자없음: 씩,"チョピン 
ロマンシングストーンのある場所がわかりました。1つはスメリアのトウヴィル
1つはアララトスの遺跡ダンジョン、","초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 스메리아의 토우빌, 하나는 아라라토스의 유적 던전,","초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 아라라토스 유적 던전에 하나씩,","초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 아라라토스 유적 던전에 하나씩,"
1423,5/S5013.DAT,0x49770,슬롯 부족 / 창 넘침,"チョピン 
戦闘での経験値が倍なるアクセサリーがあるようです。名前は<G:90>きぬのおび<G:89>。
誰でも使えるようですね。",초핀: 전투에서 경험치가 두 배가 되는 장신구가 있는 모양입니다. 이름은 비단 띠. 누구나 쓸 수 있는 것 같군요.,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.
1595,6/S6014.DAT,0x48860,슬롯 부족 / 창 넘침,"チョピン 
きつと、
すぐやられてしまう落ちこぼれは
いなくなりますよ。",(일본어 그대로),초핀: 그러면 금방 당해 버리는 낙오자는 없어질 겁니다.,초핀: 그러면 금방 당해 버리는 낙오자는 없어질 겁니다.
1601,6/S6014.DAT,0x48AA8,슬롯 부족 / 창 넘침,"そうじゃ、おまえらの力で宝を
どんどん手に入れるんじゃ!",(일본어 그대로),"그래, 너희 힘으로 보물을 손에 넣는 거다!","그래, 너희 힘으로 보물을 손에 넣는 거다!"
1602,6/S6014.DAT,0x48AFA,슬롯 부족 / 창 넘침,"もちろん、手に入れた後はわしにまかせんしゃい。
キャッキャッキャッキャッ。",(일본어 그대로),물론 손에 넣은 뒤에는 나에게 맡기거라. 크크크크크.,물론 손에 넣은 뒤에는 나에게 맡기거라. 크크크크크.
1603,6/S6014.DAT,0x48B58,슬롯 부족 / 창 넘침,まかせる訳ないでしょ!,(일본어 그대로),맡길 리가 없잖아!,맡길 리가 없잖아!
1604,6/S6014.DAT,0x48BA2,슬롯 부족 / 창 넘침,"チョピン 
トヨーケの森の恵みの精霊を
おぼえていますか？",(일본어 그대로),초핀: 토요케 숲의 은혜의 정령을 기억하십니까?,초핀: 토요케 숲의 은혜의 정령을 기억하십니까?
1608,6/S6014.DAT,0x48D06,슬롯 부족 / 창 넘침,やさしいのう。,(일본어 그대로),친절하기도 하군.,친절하기도 하군.
1611,6/S6014.DAT,0x48E10,슬롯 부족 / 창 넘침,弟子達よ・・・・。,(일본어 그대로),제자들아....,제자들아....
1612,6/S6014.DAT,0x48E58,슬롯 부족 / 창 넘침,"チョピン 
どれについてお話ししましょう？",(일본어 그대로),초핀: 어느 것에 관해 말씀드릴까요?,초핀: 어느 것에 관해 말씀드릴까요?
1613,6/S6014.DAT,0x48EB0,선택지(E5),"<CTRL:E5:03>ストーンサークル
<CTRL:E5:03>リングの位置設定
<CTRL:E5:03>召喚獣について
<CTRL:E5:03>次のページ",돌 고리 |연결 위치   |<E284><DD7B><DE6E><23><45><1B><21>|다음,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지
1616,6/S6014.DAT,0x49016,선택지(E5),"<CTRL:E5:03>ポコの楽器
<CTRL:E5:03>闘技場
<CTRL:E5:03>キートウオール
<CTRL:E5:03>次のページ",<E287><1C><DDDF><DE7A>|<E288><4C><89>|불꽃     |다음,|포코의 악기|투기장|키토우올|다음 페이지,|포코의 악기|투기장|키토우올|다음 페이지
1618,6/S6014.DAT,0x49102,슬롯 부족 / 창 넘침,"チョピン 
ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？",(일본어 그대로),초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?
1631,6/S6014.DAT,0x4963E,글자없음: 씩,"チョピン 
ロマンシングストーンのある場所がわかりました。1つはスメリアのトウヴィル
1つはアララトスの遺跡ダンジョン、","초핀: 로맨싱 스톤이 있는 곳을 알아냈습니다. 하나는 스메리아의 토우빌, 하나는 아라라토스의 유적 던전,","초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 아라라토스 유적 던전에 하나씩,","초핀: 로맨싱 스톤을 찾았습니다. 토우빌과 아라라토스 유적 던전에 하나씩,"
1633,6/S6014.DAT,0x4971C,슬롯 부족 / 창 넘침,"チョピン 
戦闘での経験値が倍になるアクセサリーがあるようです。名前は<G:90>きぬのおび<G:89>。
誰でも使えるようですね。",초핀: 전투에서 경험치가 두 배가 되는 장신구가 있는 모양입니다. 이름은 비단 띠. 누구나 쓸 수 있는 것 같군요.,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.,초핀: 전투 경험치를 두 배로 늘려 주는 장신구가 있다고 합니다. 이름은 「비단 띠」. 누구나 착용할 수 있습니다.
1640,6/S6022.DAT,0x47A9C,슬롯 부족 / 창 넘침,"連れた者にダメージを
与えることができるらしい。",(일본어 그대로),동료에게 피해를줄 수 있는 모양이야.,동료에게 피해를줄 수 있는 모양이야.
1641,6/S6022.DAT,0x47AC4,슬롯 부족 / 창 넘침,"なんでも、人聞兵器として
恐れられているつていう話じゃ。",(일본어 그대로),어쨌든 인간 병기로서 두려움의 대상이라는 이야기야.,어쨌든 인간 병기로서 두려움의 대상이라는 이야기야.
1704,6/S6054.DAT,0x4506E,슬롯 부족 / 창 넘침,"ラマダ僧 
正解!!",(일본어 그대로),라마다 승려: 정답!!,라마다 승려: 정답!!
1705,6/S6054.DAT,0x450AC,슬롯 부족 / 창 넘침,"ラマダ僧 
スパイはどこにいた？",(일본어 그대로),라마다 승려: 스파이는 어디에 있었지?,라마다 승려: 스파이는 어디에 있었지?
1707,6/S6054.DAT,0x45160,슬롯 부족 / 창 넘침,"ラマダ僧 
正解!!",,라마다 승려: 정답!!,라마다 승려: 정답!!
1708,6/S6054.DAT,0x4519E,슬롯 부족 / 창 넘침,"ラマダ僧 
セーフデータのシンボルになつているのは？",(일본어 그대로),라마다 승려: 세이브 데이터에 표시되는 문양은 무엇인가?,라마다 승려: 세이브 데이터에 표시되는 문양은 무엇인가?
1710,6/S6054.DAT,0x4525C,슬롯 부족 / 창 넘침,"ラマダ僧 
正解!!",,라마다 승려: 정답!!,라마다 승려: 정답!!
1711,6/S6054.DAT,0x4529A,슬롯 부족 / 창 넘침,"ラマダ僧 
スメリアのダウンタウンにいるよつっらいの名前は？",(일본어 그대로),라마다 승려: 스메리아의 다운타운에 있는 네 녀석의 이름은?,라마다 승려: 스메리아의 다운타운에 있는 네 녀석의 이름은?
1713,6/S6054.DAT,0x4535A,슬롯 부족 / 창 넘침,"ラマダ僧 
正解!!",,라마다 승려: 정답!!,라마다 승려: 정답!!
1714,6/S6054.DAT,0x45398,슬롯 부족 / 창 넘침,"ラマダ僧 
アークザラットのぞくへんは？",(일본어 그대로),라마다 승려: 아크 더 래드의 속편은?,라마다 승려: 아크 더 래드의 속편은?
1716,6/S6054.DAT,0x4544A,슬롯 부족 / 창 넘침,"ラマダ僧 
正解!!本当だな？",(일본어 그대로),라마다 승려: 정답!! 정말이냐?,라마다 승려: 정답!! 정말이냐?
1717,6/S6054.DAT,0x4548E,슬롯 부족 / 창 넘침,"ラマダ僧 
アークザラットのスタッフは？",(일본어 그대로),라마다 승려: 아크 더 래드의 스태프는?,라마다 승려: 아크 더 래드의 스태프는?
1719,6/S6054.DAT,0x45542,슬롯 부족 / 창 넘침,"ラマダ僧 
正解!!",(일본어 그대로),라마다 승려: 정답!!,라마다 승려: 정답!!
1720,6/S6054.DAT,0x45580,슬롯 부족 / 창 넘침,"ラマダ僧 
首都の軍オフィスには、実は地下50階のダンジョンが・・",<57><64><67><84><25> 슈<DE98><1C><BA><8F><A6><DD03><47><23><28><24><DE37><28><90><70>50<DDB2><1C><67><34><7F><69><34><2A><2C><2C>,라마다 승려: 수도의 군 본부에는 사실 지하 50층 던전이...,라마다 승려: 수도의 군 본부에는 사실 지하 50층 던전이...
1722,6/S6054.DAT,0x45648,슬롯 부족 / 창 넘침,"ラマダ僧 
正解!!",(일본어 그대로),라마다 승려: 정답!!,라마다 승려: 정답!!
