행번호,파일,오프셋,원문,현재,제안,현재바이트,제자리칸,제안바이트,결과
1780,6/S6054.DAT,0x46A2E,ラマダ僧  / 11度目の挑戦ですね。いちおう、これで最後になります。,라마다 승려: 열한 번째 도전이시군요. 일단 이것으로 마지막입니다.,,47,37,,공백만으로는 부족 — 문장을 줄여야 함
1781,6/S6054.DAT,0x46A86,ラマダ僧  / がんばつて下さい。,라마다 승려: 힘내 주십시오.,라마다승려:힘내 주십시오.,18,16,16,들어감
1782,6/S6054.DAT,0x46AD6,もう相手になるものがいません。せつかくですがお引きとり下さい。,더는 상대할 사람이 없습니다. 모처럼이지만 물러나 주십시오.,더는상대할사람이없습니다.모처럼이지만물러나주십시오.,39,33,33,들어감
1843,7/S7012.DAT,0x487FE,やさしいのう。,친절하기도 하군.,,11,8,,공백만으로는 부족 — 문장을 줄여야 함
1847,7/S7012.DAT,0x48950,チョピン  / どれについてお話ししましょう？,초핀: 어느 것에 관해 말씀드릴까요?,,27,22,,공백만으로는 부족 — 문장을 줄여야 함
1853,7/S7012.DAT,0x48BFA,チョピン  / ゴーゲンさんが仲聞になつた後にオルカスの丘のストーンサークルへ行きましたか？,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,초핀:고겐님이 동료가된뒤에 오르카스 언덕의스톤 서클에가 보셨습니까?,56,50,50,들어감
2479,C2/SC0B6.DAT,0x45C78,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.,21,19,19,들어감
2480,C2/SC0B6.DAT,0x45CD4,勝利回数10回の方には、 / ちょつとうれしい賞品がございます。 / がんばつて下さい。,승리 횟수 10회를 달성하신 분께는 조금 기쁜 상품이 있습니다. 힘내 주십시오.,승리횟수 10회를 달성하신분께는 조금기쁜상품이 있습니다.힘내 주십시오.,52,47,47,들어감
2482,C2/SC0B6.DAT,0x45D8C,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.,21,19,19,들어감
2483,C2/SC0B6.DAT,0x45DE8,20回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。,20회까지 앞으로  회입니다. 힘내 주십시오.,20회까지 앞으로 회입니다.힘내 주십시오.,27,25,25,들어감
2485,C2/SC0B6.DAT,0x45E8A,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.,21,19,19,들어감
2486,C2/SC0B6.DAT,0x45EE6,40回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。,40회까지 앞으로  회입니다. 힘내 주십시오.,40회까지 앞으로 회입니다.힘내 주십시오.,27,25,25,들어감
2488,C2/SC0B6.DAT,0x45F88,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.,21,19,19,들어감
2489,C2/SC0B6.DAT,0x45FE4,80回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。,80회까지 앞으로  회입니다. 힘내 주십시오.,80회까지 앞으로 회입니다.힘내 주십시오.,27,25,25,들어감
2491,C2/SC0B6.DAT,0x46086,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.,21,19,19,들어감
2492,C2/SC0B6.DAT,0x460E2,120回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。,120회까지 앞으로  회입니다. 힘내 주십시오.,120회까지 앞으로 회입니다.힘내 주십시오.,28,26,26,들어감
2494,C2/SC0B6.DAT,0x46184,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.,21,19,19,들어감
2495,C2/SC0B6.DAT,0x461E0,160回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。,160회까지 앞으로  회입니다. 힘내 주십시오.,160회까지 앞으로 회입니다.힘내 주십시오.,28,26,26,들어감
2497,C2/SC0B6.DAT,0x46282,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.,21,19,19,들어감
2498,C2/SC0B6.DAT,0x462DE,200回までのこり<CTRL:E8:21>回です。 / がんばつて下さい。,200회까지 앞으로  회입니다. 힘내 주십시오.,200회까지 앞으로 회입니다.힘내 주십시오.,28,26,26,들어감
2500,C2/SC0B6.DAT,0x46380,今までの勝利回数は<CTRL:E8:13>回です。<CTRL:E4:3D>,지금까지의 승리 횟수는  회입니다.,지금까지의 승리횟수는 회입니다.,21,19,19,들어감
2501,C2/SC0B6.DAT,0x463DC,1000回までのこり<CTRL:E8:21>回です。 / あきらめないで、がんばつて下さい。,1000회까지 앞으로  회입니다. 포기하지 말고 힘내 주십시오.,1000회까지 앞으로회입니다. 포기하지 말고힘내 주십시오.,38,35,35,들어감
2505,C2/SC0B6.DAT,0x46572,<G:90>みなぎる果実<G:89>を手にいれた。,넘치는 과실을 손에 넣었다.,넘치는 과실을손에 넣었다.,19,18,18,들어감
2506,C2/SC0B6.DAT,0x465B6,20回目の勝利を目指して / がんばつて下さい。,20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2508,C2/SC0B6.DAT,0x4664C,20回目の勝利を目指して / がんばつて下さい。,20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2509,C2/SC0B6.DAT,0x466A0,<G:90>弱りの玉<G:89>を手にいれた。,약화의 구슬을 손에 넣었다.,약화의구슬을손에넣었다.,18,15,15,들어감
2510,C2/SC0B6.DAT,0x466E2,20回目の勝利を目指して / がんばつて下さい。,20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2512,C2/SC0B6.DAT,0x46778,20回目の勝利を目指して / がんばつて下さい。,20번째 승리를 목표로 힘내 주십시오.,20번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2516,C2/SC0B6.DAT,0x468FA,<G:90>ちからの実<G:89>を手にいれた。,힘의 열매를 손에 넣었다.,힘의열매를 손에 넣었다.,16,15,15,들어감
2517,C2/SC0B6.DAT,0x4693C,40回目の勝利を目指して / がんばつて下さい。,40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2518,C2/SC0B6.DAT,0x46990,<G:90>パロの実<G:89>を手にいれた。,파로의 열매를 손에 넣었다.,,19,14,,공백만으로는 부족 — 문장을 줄여야 함
2519,C2/SC0B6.DAT,0x469D0,40回目の勝利を目指して / がんばつて下さい。,40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2520,C2/SC0B6.DAT,0x46A24,<G:90>いのちの木の実<G:89>を手にいれた。,생명의 나무 열매를 손에 넣었다.,생명의나무열매를손에넣었다.,22,18,18,들어감
2521,C2/SC0B6.DAT,0x46A68,40回目の勝利を目指して / がんばつて下さい。,40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2522,C2/SC0B6.DAT,0x46ABC,<G:90>魔力の泉<G:89>を手にいれた。,마력의 샘을 손에 넣었다.,마력의 샘을손에 넣었다.,16,15,15,들어감
2523,C2/SC0B6.DAT,0x46AFE,40回目の勝利を目指して / がんばつて下さい。,40번째 승리를 목표로 힘내 주십시오.,40번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2527,C2/SC0B6.DAT,0x46C84,<G:90>氷の守り<G:89>を手にいれた。,얼음의 수호를 손에 넣었다.,얼음의 수호를손에 넣었다.,16,15,15,들어감
2528,C2/SC0B6.DAT,0x46CC6,80回目の勝利を目指して / がんばつて下さい。,80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2529,C2/SC0B6.DAT,0x46D1A,<G:90>炎の守り<G:89>を手にいれた。,불꽃의 수호를 손에 넣었다.,불꽃의수호를손에넣었다.,17,14,14,들어감
2530,C2/SC0B6.DAT,0x46D5A,80回目の勝利を目指して / がんばつて下さい。,80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2531,C2/SC0B6.DAT,0x46DAE,<G:90>魔法のカート<G:89>を手にいれた。,마법의 카트를 손에 넣었다.,마법의 카트를손에 넣었다.,18,17,17,들어감
2532,C2/SC0B6.DAT,0x46DF2,80回目の勝利を目指して / がんばつて下さい。,80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2534,C2/SC0B6.DAT,0x46E8C,80回目の勝利を目指して / がんばつて下さい。,80번째 승리를 목표로 힘내 주십시오.,80번째 승리를 목표로힘내 주십시오.,26,25,25,들어감
2538,C2/SC0B6.DAT,0x4700E,<G:90>スリープレスカート<G:89>を手にいれた。,슬리플리스 카트를 손에 넣었다.,슬리플리스 카트를손에넣었다.,21,19,19,들어감
2539,C2/SC0B6.DAT,0x47054,120回目の勝利を目指して / がんばつて下さい。,120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로힘내 주십시오.,27,26,26,들어감
2541,C2/SC0B6.DAT,0x470EC,120回目の勝利を目指して / がんばつて下さい。,120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로힘내 주십시오.,27,26,26,들어감
2542,C2/SC0B6.DAT,0x47140,<G:90>鏡<G:89>を手にいれた。,거울을 손에 넣었다.,거울을손에 넣었다.,12,11,11,들어감
2543,C2/SC0B6.DAT,0x4717E,120回目の勝利を目指して / がんばつて下さい。,120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로힘내 주십시오.,27,26,26,들어감
2544,C2/SC0B6.DAT,0x471D2,<G:90>サングラス<G:89>を手にいれた。,선글라스를 손에 넣었다.,선글라스를손에넣었다.,16,14,14,들어감
2545,C2/SC0B6.DAT,0x47212,120回目の勝利を目指して / がんばつて下さい。,120번째 승리를 목표로 힘내 주십시오.,120번째 승리를 목표로힘내 주십시오.,27,26,26,들어감
2549,C2/SC0B6.DAT,0x47360,<G:90>ディールの牙<G:89>を手にいれた。,디르의 어금니를 손에 넣었다.,디르의 어금니를손에 넣었다.,18,17,17,들어감
2550,C2/SC0B6.DAT,0x473A4,160回目の勝利を目指して / がんばつて下さい。,160번째 승리를 목표로 힘내 주십시오.,160번째 승리를 목표로힘내 주십시오.,27,26,26,들어감
2554,C2/SC0B6.DAT,0x4752A,<G:90>パワーリスト<G:89>を手にいれた。,파워 리스트를 손에 넣었다.,파워리스트를 손에넣었다.,18,16,16,들어감
2555,C2/SC0B6.DAT,0x4756C,200回目の勝利を目指して / がんばつて下さい。,200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로힘내 주십시오.,27,26,26,들어감
2557,C2/SC0B6.DAT,0x47604,200回目の勝利を目指して / がんばつて下さい。,200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로힘내 주십시오.,27,26,26,들어감
2559,C2/SC0B6.DAT,0x4769C,200回目の勝利を目指して / がんばつて下さい。,200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로힘내 주십시오.,27,26,26,들어감
2560,C2/SC0B6.DAT,0x476F0,<G:90>貝がら<G:89>を手にいれた。,조개껍데기를 손에 넣었다.,,16,13,,공백만으로는 부족 — 문장을 줄여야 함
2561,C2/SC0B6.DAT,0x47730,200回目の勝利を目指して / がんばつて下さい。,200번째 승리를 목표로 힘내 주십시오.,200번째 승리를 목표로힘내 주십시오.,27,26,26,들어감
2565,C2/SC0B6.DAT,0x4787C,<G:90>幻のこて<G:89>を手にいれた。,환상의 건틀릿을 손에 넣었다.,,20,14,,공백만으로는 부족 — 문장을 줄여야 함
2566,C2/SC0B6.DAT,0x478BC,1000回目の勝利を目指して / がんばつて下さい。,1000번째 승리를 목표로 힘내 주십시오.,1000번째 승리를 목표로힘내 주십시오.,28,27,27,들어감
2570,C2/SC0B6.DAT,0x47A12,<G:90>みなぎる果実<G:89>を手にいれた。,넘치는 과실을 손에 넣었다.,넘치는 과실을손에 넣었다.,19,18,18,들어감
2572,C2/SC0B6.DAT,0x47AA0,<G:90>弱りの玉<G:89>を手にいれた。,약화의 구슬을 손에 넣었다.,약화의구슬을손에넣었다.,18,15,15,들어감
2574,C2/SC0B6.DAT,0x47B2C,<G:90>ちからの実<G:89>を手にいれた。,힘의 열매를 손에 넣었다.,힘의열매를 손에 넣었다.,16,15,15,들어감
2575,C2/SC0B6.DAT,0x47B72,<G:90>パロの実<G:89>を手にいれた。,파로의 열매를 손에 넣었다.,,19,14,,공백만으로는 부족 — 문장을 줄여야 함
2576,C2/SC0B6.DAT,0x47BB6,<G:90>いのちの木の実<G:89>を手にいれた。,생명의 나무 열매를 손에 넣었다.,생명의나무열매를손에넣었다.,22,18,18,들어감
2577,C2/SC0B6.DAT,0x47BFE,<G:90>魔力の泉<G:89>を手にいれた。,마력의 샘을 손에 넣었다.,마력의 샘을손에 넣었다.,16,15,15,들어감
2578,C2/SC0B6.DAT,0x47C44,<G:90>氷の守り<G:89>を手にいれた。,얼음의 수호를 손에 넣었다.,얼음의 수호를손에 넣었다.,16,15,15,들어감
2579,C2/SC0B6.DAT,0x47C8A,<G:90>炎の守り<G:89>を手にいれた。,불꽃의 수호를 손에 넣었다.,불꽃의수호를손에넣었다.,17,14,14,들어감
2580,C2/SC0B6.DAT,0x47CCE,<G:90>魔法のカート<G:89>を手にいれた。,마법의 카트를 손에 넣었다.,마법의 카트를손에 넣었다.,18,17,17,들어감
2582,C2/SC0B6.DAT,0x47D60,<G:90>スリープレスカート<G:89>を手にいれた。,슬리플리스 카트를 손에 넣었다.,슬리플리스 카트를손에넣었다.,21,19,19,들어감
2584,C2/SC0B6.DAT,0x47DF2,<G:90>鏡<G:89>を手にいれた。,거울을 손에 넣었다.,거울을손에 넣었다.,12,11,11,들어감
2585,C2/SC0B6.DAT,0x47E34,<G:90>サングラス<G:89>を手にいれた。,선글라스를 손에 넣었다.,선글라스를손에넣었다.,16,14,14,들어감
2586,C2/SC0B6.DAT,0x47E78,<G:90>パワーリスト<G:89>を手にいれた。,파워 리스트를 손에 넣었다.,파워리스트를 손에넣었다.,18,16,16,들어감
2589,C2/SC0B6.DAT,0x47F4E,<G:90>貝がら<G:89>を手にいれた。,조개껍데기를 손에 넣었다.,,16,13,,공백만으로는 부족 — 문장을 줄여야 함
2590,C2/SC0B6.DAT,0x47F92,<G:90>幻のこて<G:89>を手にいれた。,환상의 건틀릿을 손에 넣었다.,,20,14,,공백만으로는 부족 — 문장을 줄여야 함
2591,C2/SC0B6.DAT,0x47FD6,<G:90>バイオレットレーサー<G:89>を手にいれた。,바이올렛 레이서를 손에 넣었다.,바이올렛레이서를손에넣었다.,22,19,19,들어감
2660,D/SD031.DAT,0x459BC,じいさん、あんた誰だい？,"할아버지, 당신은 누구야?",,17,13,,공백만으로는 부족 — 문장을 줄여야 함
2664,D/SD031.DAT,0x45AFE,じゃっあんたが・・？,그럼 당신이...?,그럼당신이.?,14,12,11,들어감
2666,D/SD031.DAT,0x45B96,ふふつふふつふふつふふつふふつふふつ,후후후후후후후후후후후후후.,,27,24,,공백만으로는 부족 — 문장을 줄여야 함
2670,D/SD031.DAT,0x45CF4,5大精霊？,5대 정령?,,7,5,,공백만으로는 부족 — 문장을 줄여야 함
2675,D/SD031.DAT,0x45E92,じゃあ、どうやつてその精霊達をさがしだすの？,그럼 어떻게 그 정령들을 찾아내지?,그럼 어떻게그 정령들을 찾아내지?,23,22,22,들어감
2678,D/SD031.DAT,0x45F8E,それはどこから来たものかのう？,그건 어디서 온 것이려나?,그건어디서온것이려나?,19,16,16,들어감
2679,D/SD031.DAT,0x45FDA,アララトスからだ!,아라라토스에서 왔어!,,14,9,,공백만으로는 부족 — 문장을 줄여야 함
2680,D/SD031.DAT,0x46018,すいぶん遠いところからね。,상당히 먼 곳에서 왔구나.,,19,14,,공백만으로는 부족 — 문장을 줄여야 함
2681,D/SD031.DAT,0x4605A,飛行船が必要だなっ。,비행선이 필요하겠군.,,16,14,,공백만으로는 부족 — 문장을 줄여야 함
2685,D/SD031.DAT,0x46190,ばかもん!!,이 바보 놈!!,,11,6,,공백만으로는 부족 — 문장을 줄여야 함
2687,D/SD031.DAT,0x46226,じゃっ、ものすごい魔法が使えるんだ。,그럼 엄청난 마법을 쓸 수 있겠네.,그럼엄청난 마법을쓸수있겠네.,25,21,21,들어감
2688,D/SD031.DAT,0x46276,いかにも、そのはすじゃが・・？,"그렇다, 그러할 터인데...?","그렇다,그러할 터인데...?",18,17,17,들어감
2689,D/SD031.DAT,0x462BC,なんか頼りないわね・・。,어딘가 믿음직하지 않네...,어딘가믿음직하지않네.,18,15,14,들어감
2691,D/SD031.DAT,0x4637E,ひさしぶりに / 大暴れできそうじゃわい。,오랜만에 크게 활약할 수 있겠구나.,오랜만에 크게 활약할수 있겠구나.,22,21,21,들어감
2693,D/SD031.DAT,0x463FC,ロマンシングストーンをもつていた!<CTRL:E4:3D>,로맨싱 스톤을 가지고 있었다!,로맨싱스톤을 가지고 있었다!,20,19,19,들어감
2695,D/SD031.DAT,0x465EE,<G:90>すごいアイテム<G:89>を手に入れた!,굉장한 아이템을 손에 넣었다!,굉장한 아이템을손에 넣었다!,19,18,18,들어감
2696,D/SD031.DAT,0x4672A,チョンガラの<G:90>すごいアイテム<G:89>をうばつた!<CTRL:E4:3D>,촌가라의 굉장한 아이템을 빼앗았다!,촌가라의굉장한 아이템을빼앗았다!,26,24,24,들어감
2698,D/SD031.DAT,0x4699E,<G:90>すごいアイテム<G:89>をとりあげた!,굉장한 아이템을 빼앗아 들었다!,,22,18,,공백만으로는 부족 — 문장을 줄여야 함
2699,D/SD031.DAT,0x46A2A,<G:90>すごいアイテム<G:89>がこわれてとんだ!,굉장한 아이템이 부서져 날아갔다!,,25,20,,공백만으로는 부족 — 문장을 줄여야 함
2700,D/SD031.DAT,0x46A88,<G:90>こわれたアイテム<G:89>に気づいていない。,부서진 아이템을 알아차리지 못했다.,,26,22,,공백만으로는 부족 — 문장을 줄여야 함
2701,D/SD031.DAT,0x48A5A,石を手に入れた!,돌을 손에 넣었다!,돌을손에넣었다!,10,8,8,들어감
2702,D/SD031.DAT,0x48AA4,石を手に入れた!,돌을 손에 넣었다!,돌을손에넣었다!,10,8,8,들어감
