new_index,old_index,char,uses,cho,jung,jong,piece_cho,piece_jung,piece_jong
656,1047,괜,1,0,10,4,141,237,336
657,1116,한,1,18,0,4,99,205,252
658,1224,됐,1,3,10,20,144,215,352
659,1027,께,1,1,5,0,2,166,-1
660,1040,늪,1,2,18,26,103,223,302
661,54949,통,1,16,8,21,117,213,297
662,39171,빛,1,7,20,23,88,225,271
663,2221,톨,1,16,8,8,117,213,284
664,1167,딸,1,4,0,8,85,205,256
665,58321,훗,1,18,13,19,139,218,323
666,1168,떠,1,4,4,0,5,165,-1
667,10266,셈,1,9,5,16,90,210,264
668,40700,칭,1,14,20,21,95,225,269
669,1154,제,1,12,5,0,13,166,-1
670,1089,위,1,11,16,0,72,177,-1
671,1109,타,1,16,0,0,17,161,-1
672,1088,우,1,11,13,0,52,174,-1
673,1143,에,1,11,5,0,12,166,-1
674,1034,너,1,2,4,0,3,165,-1
675,999,방,1,7,0,21,88,205,269
676,1134,차,1,14,0,0,15,161,-1
677,703,번,1,7,4,4,88,209,252
678,1150,라,1,5,0,0,6,161,-1
679,1171,래,1,5,1,0,6,162,-1
680,1042,느,1,2,18,0,23,179,-1
681,1191,주,1,12,13,0,53,174,-1
682,1160,치,1,14,20,0,15,181,-1
683,1177,다,1,3,0,0,4,161,-1
684,1057,만,1,6,0,4,87,205,252
685,1043,들,1,3,18,8,104,223,284
686,1223,투,1,16,13,0,57,174,-1
687,700,별,1,7,6,8,88,211,256
688,1044,노,1,2,8,0,23,169,-1
689,1141,크,1,15,18,0,36,201,-1
690,1110,토,1,16,8,0,37,169,-1
691,695,슈,1,9,17,0,50,178,-1
692,1225,없,1,11,4,18,92,209,266
693,1118,합,1,18,0,17,99,205,265
694,1222,령,1,5,6,21,86,211,269
695,1128,체,1,14,5,0,15,166,-1
696,1061,멸,1,6,6,8,87,211,256
697,1209,장,1,12,0,21,93,205,269
698,939,레,1,5,5,0,6,166,-1
699,1145,디,1,3,20,0,4,181,-1
700,1172,런,1,5,4,4,86,209,252
701,1146,지,1,12,20,0,13,181,-1
702,1234,발,1,7,0,8,88,205,256
703,1074,성,1,9,4,21,90,209,269
704,995,부,1,7,13,0,48,174,-1
705,1148,조,1,12,8,0,33,169,-1
706,1178,는,1,2,18,4,103,223,280
707,1123,행,1,18,1,21,99,206,269
708,1070,상,1,9,0,21,90,205,269
709,53607,취,1,14,16,0,75,177,-1
710,1194,집,1,12,20,17,93,225,265
