category,pointer_offset,korean,target,expected_hex,actual_hex,status
nonstory_system,0x82A44,대폭발,0x820F6,E0 36 DE CB E0 FA,E0 36 DE CB E0 FA,exact
nonstory_system,0x82A48,드림 노크,0x82049,DF 41 DF 3A 9C E0 3C E0 9D,DF 41 DF 3A 9C E0 3C E0 9D,exact
nonstory_system,0x82A4C,다이아몬드 더스트,0x82618,E0 C1 E0 BD E0 9C DF 37 DF 41 9C DF D5 E0 39 E0 82,E0 C1 E0 BD E0 9C DF 37 DF 41 9C DF D5 E0 39 E0 82,exact
nonstory_system,0x82A50,바람 검,0x820D9,DF 6E E0 BA 9C DE F3,DF 6E E0 BA 9C DE F3,exact
nonstory_system,0x82A54,전기 폭풍,0x82099,E0 CC E0 AC 9C DE CB DE C9,E0 CC E0 AC 9C DE CB DE C9,exact
nonstory_system,0x82A58,회오리 차기,0x81F91,DE C7 E0 62 E0 98 9C E0 96 E0 AC,DE C7 E0 62 E0 98 9C E0 96 E0 AC,exact
nonstory_system,0x82A5C,유성폭,0x820FD,E0 AD E0 5A DE CB,E0 AD E0 5A DE CB,exact
nonstory_system,0x82A60,유령 파동,0x82085,E0 AD E0 EE 9C DF A0 E0 94,E0 AD E0 EE 9C DF A0 E0 94,exact
nonstory_system,0x82A64,멸장열파,0x820B5,E0 4D E0 E1 E0 B2 DF A0,E0 4D E0 E1 E0 B2 DF A0,exact
nonstory_system,0x82A6C,불러내기,0x826D2,E0 0A E0 25 DF 97 E0 AC,E0 0A E0 25 DF 97 E0 AC,exact
nonstory_system,0x82A70,조사,0x8210E,E0 A4 E0 A5,E0 A4 E0 A5,exact
nonstory_system,0x82A74,회복,0x82104,DE C7 DF 33,DE C7 DF 33,exact
nonstory_system,0x82A78,다리 만들기,0x81FD9,E0 C1 E0 98 9C E0 49 E0 3B E0 AC,E0 C1 E0 98 9C E0 49 E0 3B E0 AC,exact
nonstory_system,0x82A7C,바람 전기,0x82053,DF 6E E0 BA 9C E0 CC E0 AC,DF 6E E0 BA 9C E0 CC E0 AC,exact
nonstory_system,0x82A80,몸 가져오기,0x81FA9,DF 36 9C E0 C0 DF 14 E0 62 E0 AC,DF 36 9C E0 C0 DF 14 E0 62 E0 AC,exact
nonstory_system,0x82A84,기운 없음,0x82071,E0 AC DF FA 9C E0 F1 DF F8,E0 AC DF FA 9C E0 F1 DF F8,exact
nonstory_system,0x823AC,LV,0x82154,6C,6C,exact
nonstory_system,0x823B0,empty V tail,0x82158,,,exact
nonstory_system,0x823B4,original auxiliary,0x8215C,DD B2,DD B2,exact
nonstory_system,0x823B8,M,0x82160,01 DE 4F,01 DE 4F,exact
nonstory_system,0x823BC,P,0x82164,DD 90,DD 90,exact
