physical_index,char,unicode,sources,v240_piece_indices,official_piece_indices,pixel_hamming,changed,before_bitmap_sha256,after_bitmap_sha256
120,러,U+B7EC,V319 atlas identity,6/165/-1,6/187/-1,0,0,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431,ADF1BBC8A8A2504038FCFBAF38A62CCD62AE2DDC9AC1F55A3AA81084E33BD431
121,회,U+D68C,V319 atlas identity; V320 assignment,79/172/-1,79/194/-1,0,0,B31880651AC538BAA88EF6D91221EB7FF23737E549EEC5C75FB3837F8D44526B,B31880651AC538BAA88EF6D91221EB7FF23737E549EEC5C75FB3837F8D44526B
122,원,U+C6D0,V319 atlas identity; V320 assignment,152/219/336,152/241/280,19,1,AFB37B7B7A36E1C37FED76F6DAE4DC1C02E98915078059248D9898BF10552F27,5ADEEA0D4BF871B0B14C071FAE84B07C3E8CACD4D4F07B28C135E682557F368A
123,군,U+AD70,V319 atlas identity; V320 assignment,121/240/308,121/218/336,23,1,970FC09388899B8B1B6A47B7FC2D7DFA61D8894AD7FD99C679A580769654F35D,6AAD8A5AE167EE6ADB6CCD70F3D914DE7D016E80121AA0AD6810A6E828CFF1EF
124,할,U+D560,V319 atlas identity; V320 assignment,99/205/256,119/227/256,22,1,858AC88FDDA9F69A5A0841675F181B6097EA5C1AED739A05D8E9D157E2576B4C,11E9C2F30B797DBC89486740976A4DA4F0C778EC2BD4427C1E79A4BFFA6A9EA9
125,네,U+B124,V319 atlas identity; V320 assignment,3/166/-1,3/188/-1,0,0,358293B8903FE309C112A74C0D73072A6D8AE8AF46D1B291957E4267AC11E6B2,358293B8903FE309C112A74C0D73072A6D8AE8AF46D1B291957E4267AC11E6B2
126,입,U+C785,V319 atlas identity; V320 assignment,92/225/265,112/247/293,22,1,FBA83ECA372D13D8B62B4384BAD4F24152EA19193E5D6B036E715F08F4E79B07,EBF97824614E397C3CE142586A5ACCD5391AD4F7BEF46D5DF48FCE155E06D278
127,변,U+BCC0,V319 atlas identity; V320 assignment,88/211/252,108/233/280,16,1,713DB3EBD6EB27D074717CE25BBCF76E0D7979DDBF30AA8DC90923A7B62D3313,EE60B4AEAC7465A030D40733861B1300F3F80923D2A92D7D7D83559FD1C44281
128,데,U+B370,V319 atlas identity; V320 assignment,4/166/-1,4/188/-1,0,0,4FD37CA266B94C10084F9FB33DB73107E29CD3F17D929E637309C88CA679CF16,4FD37CA266B94C10084F9FB33DB73107E29CD3F17D929E637309C88CA679CF16
129,병,U+BCD1,V319 atlas identity; V320 assignment,88/211/269,108/233/297,16,1,05320F02D389369AC40B011A481D0B8C3C78CB826407A202F443EBE2223C00C9,A56C02FE66B06A052DA784FC74923A7D56A6A03DF6D83F06F4EE368BD9B6C5C7
130,토,U+D1A0,V319 atlas identity; V320 assignment,37/169/-1,37/191/-1,0,0,E4787992CB6EFA447F1FE88FB46A670A1F1CBE1A9A488D3F188A93EE4860D3C9,E4787992CB6EFA447F1FE88FB46A670A1F1CBE1A9A488D3F188A93EE4860D3C9
131,초,U+CD08,V319 atlas identity,35/169/-1,35/191/-1,0,0,0FA7CE36B62EDE8B3A13ECE06BF3175BBA6F5FE07FB42C5A0EE600CA4BAAAFF0,0FA7CE36B62EDE8B3A13ECE06BF3175BBA6F5FE07FB42C5A0EE600CA4BAAAFF0
132,손,U+C190,V319 atlas identity; V320 assignment,110/213/280,130/235/336,43,1,D52F7121F4C429CDF0685C1303FC34E035A0C966F01E6C79561F2C4798E98D42,2BFFFE6A568F717B9945E6C3C31EC9F18756596A0B93D4BCD92CCCF8D9C49A30
133,운,U+C6B4,V319 atlas identity; V320 assignment,132/218/308,132/240/336,23,1,71EE529EFAF75ECE80B33FABF388571CA5579747B40AA8559192986AC48A9E2D,B5B26241AE01E81C7A73B87258B1817A8BDFBD1BD6B4ADD6D0049E97DDC14B05
134,구,U+AD6C,V319 atlas identity; V320 assignment,41/196/-1,41/174/-1,0,0,39371E69B02AB0C1F41B8F7386019599D78A23B24DBD4AC073CF78204837F68B,39371E69B02AB0C1F41B8F7386019599D78A23B24DBD4AC073CF78204837F68B
135,와,U+C640,V319 atlas identity; V320 assignment,72/170/-1,72/192/-1,0,0,1E18DA43015052EDED687A6359742D719C44C8700029A9A41A16A8A3F40CDF69,1E18DA43015052EDED687A6359742D719C44C8700029A9A41A16A8A3F40CDF69
136,너,U+B108,V319 atlas identity; V320 assignment,3/165/-1,3/187/-1,0,0,A1E143A807D2E5FEC57F362699C34226C431A1BCF213C71F19345B0CE1446119,A1E143A807D2E5FEC57F362699C34226C431A1BCF213C71F19345B0CE1446119
137,유,U+C720,V319 atlas identity; V320 assignment,52/178/-1,52/200/-1,0,0,7F53214C2911F637A19D4EBBDD32A1B2C64DAFAD4A6EAF874EE355AF6D9133F3,7F53214C2911F637A19D4EBBDD32A1B2C64DAFAD4A6EAF874EE355AF6D9133F3
138,상,U+C0C1,V319 atlas identity; V320 assignment,90/205/269,110/227/269,18,1,F57ABE6F84532A94CAABD15A764E777B3B6237091F020044932E31AAFB98E915,7561D4332D691BD05EAE43A1D9E980E3EBAE2D5F470EE949FC0CEC851561026B
139,세,U+C138,V319 atlas identity; V320 assignment,10/166/-1,10/188/-1,0,0,9F69C01B1834255C7799A3AFE87E937C6622AB0B4FF1B7ABFE01181AF9467C50,9F69C01B1834255C7799A3AFE87E937C6622AB0B4FF1B7ABFE01181AF9467C50
140,음,U+C74C,V319 atlas identity; V320 assignment,112/223/292,132/245/348,65,1,299FF63A3E46814B353FC5799777A44FFA771E1B28C592D4A688E5E434F54127,49B39B5D3560197410343366EDE9D980400AAACF77279F7AD1D8D614FDE00C67
141,위,U+C704,V319 atlas identity; V320 assignment,72/177/-1,92/199/-1,0,0,1C8EBB3F6F380B2288C32A9F53D5482F570436F6E0CD35C88D4EA6A3F97F7F7B,1C8EBB3F6F380B2288C32A9F53D5482F570436F6E0CD35C88D4EA6A3F97F7F7B
142,라,U+B77C,V319 atlas identity,6/161/-1,6/183/-1,0,0,23A656796D587893E6F5F1FD6E72222F5A36402B5A2FB1FD065663B82DE87C61,23A656796D587893E6F5F1FD6E72222F5A36402B5A2FB1FD065663B82DE87C61
143,조,U+C870,V319 atlas identity; V320 assignment,33/169/-1,33/191/-1,0,0,0C964876F919085CD7F346FCB9BE3802569CB6ACF5811E7854AF8E6450F6B605,0C964876F919085CD7F346FCB9BE3802569CB6ACF5811E7854AF8E6450F6B605
145,분,U+BD84,V319 atlas identity; V320 assignment,128/218/308,128/240/336,23,1,06429248EE3BB8BC0CAE65F5162FC110117F7036A98DB0A409FB6C0C9325D042,ECE40711A1FCAFE35157FE742C9BB80C4151D7CC9BACC69BAA83A7095D52F878
146,도,U+B3C4,V319 atlas identity,24/169/-1,24/191/-1,0,0,F03EBE3289C57057B8AC7CE041FB97E776BC914D15A2EFB335F2F9C677C84D57,F03EBE3289C57057B8AC7CE041FB97E776BC914D15A2EFB335F2F9C677C84D57
147,안,U+C548,V319 atlas identity; V320 assignment,92/205/252,112/227/252,22,1,217A8CF6C4B3F3DADBADC47EA692996377B405223D127B40CF3CFD50255D7753,33601E33E261A48F1F97BB08C5023B85D7717C1C73345E257019A04256CDF5B3
148,호,U+D638,V319 atlas identity; V320 assignment,39/169/-1,39/191/-1,0,0,B8A8D4E9DD032C81B1D5A0CAB5F5D40B049FB80D0F79BA594F0AB7850905152F,B8A8D4E9DD032C81B1D5A0CAB5F5D40B049FB80D0F79BA594F0AB7850905152F
149,촌,U+CD0C,V319 atlas identity; V320 assignment,115/213/280,135/235/336,43,1,D902471B6C007964618BE05CA0749685D7E28AE5C481D5ED01568EEEA1EA7598,66E2250BAB7FFAE3395FC1EA0C8652359B90E75B9E97AFBAD3AD27C6E3F7838B
150,예,U+C608,V319 atlas identity; V320 assignment,12/168/-1,12/190/-1,0,0,A1FF1B823781C7BACD970E710837D67943A4BAB30FC42D5B22222392864212D7,A1FF1B823781C7BACD970E710837D67943A4BAB30FC42D5B22222392864212D7
151,버,U+BC84,V319 atlas identity,8/165/-1,8/187/-1,0,0,4224A9549300219D910F85E558BB87C4A260149C926AD44F44B93244481D4072,4224A9549300219D910F85E558BB87C4A260149C926AD44F44B93244481D4072
152,올,U+C62C,V319 atlas identity; V320 assignment,112/213/284,132/235/340,57,1,8438420564B8930AF9B829221114AC4327A7F267C292A8B089C69EA017C9B891,9F8FA4D95C94E5260FB7A1E145CBDE00A3BA8C4936BB8DB402ECBA3FA9C1F489
154,번,U+BC88,V319 atlas identity; V320 assignment,88/209/252,108/231/280,16,1,3509CD5430374429875B9F8379A22D49B210C5C4BA59799FC3D4AF84B4CC3A3E,637043110DE018D5393C3070386ABEFAE741E562BD7A5B3C4C075E76D63E39F3
156,심,U+C2EC,V319 atlas identity; V320 assignment,90/225/264,110/247/292,18,1,36DAE1C70DA2A3BD477F45B77EDF93B082AD636B278CB7C90AD890B44F7DC2C2,58C4E83453F947A0601C26EAEDEF3096134F89EA7DC4E73F36B40BDECB602E4F
169,큰,U+D070,V320 assignment,116/245/280,136/223/336,48,1,DB50C27F4ED933FE468AB87A0CF58584A61562432AF644A4C9915AB97FA8403A,60631B8D89001FC15E0368133B5271251F9ED0901CAEE71701B5945AC056992C
209,량,U+B7C9,V320 assignment,86/207/269,106/229/269,15,1,B15690C737A1FD406D9F0C0011AF5D451011274F8019A23EB382199F46751680,51B5FBC7596284523DF4CAF4390F829AA4A02158C640504C4D6BC33CBB271DBB
210,페,U+D398,V320 assignment,18/166/-1,18/188/-1,0,0,DEAAC10DC299DD617DE12BC14F54425E69E466DD061A84FD36919BB374769379,DEAAC10DC299DD617DE12BC14F54425E69E466DD061A84FD36919BB374769379
212,로,U+B85C,V320 assignment,26/169/-1,26/191/-1,0,0,088EB5032D9B9740C707FB62B2D5D7249FE2A24BCFA757E3900B4136F79B9CB9,088EB5032D9B9740C707FB62B2D5D7249FE2A24BCFA757E3900B4136F79B9CB9
220,이,U+C774,V319 atlas identity; V320 assignment,12/181/-1,12/203/-1,0,0,DB918469C2CEB04B4E78C5FEA87DC84F9DF0FACF986C53250DF232FFBBC5710F,DB918469C2CEB04B4E78C5FEA87DC84F9DF0FACF986C53250DF232FFBBC5710F
223,로,U+B85C,V319 atlas identity; V320 assignment,26/169/-1,26/191/-1,0,0,088EB5032D9B9740C707FB62B2D5D7249FE2A24BCFA757E3900B4136F79B9CB9,088EB5032D9B9740C707FB62B2D5D7249FE2A24BCFA757E3900B4136F79B9CB9
224,라,U+B77C,V319 atlas identity; V320 assignment,6/161/-1,6/183/-1,0,0,23A656796D587893E6F5F1FD6E72222F5A36402B5A2FB1FD065663B82DE87C61,23A656796D587893E6F5F1FD6E72222F5A36402B5A2FB1FD065663B82DE87C61
225,비,U+BE44,V319 atlas identity; V320 assignment,8/181/-1,8/203/-1,0,0,F16672484680993D596AFA6F8180334FA9F2D3B13E6AE01F7DCAEF4A66422935,F16672484680993D596AFA6F8180334FA9F2D3B13E6AE01F7DCAEF4A66422935
226,소,U+C18C,V319 atlas identity; V320 assignment,30/169/-1,30/191/-1,0,0,01C3B64459479E098A49DCBB2EFC1E07D4B834EB26F161C4A9D8D4D9078797A3,01C3B64459479E098A49DCBB2EFC1E07D4B834EB26F161C4A9D8D4D9078797A3
227,바,U+BC14,V319 atlas identity; V320 assignment,8/161/-1,8/183/-1,0,0,646544C79E1DBFF4024D622DDD9C9855839990E819591EB3A3C9AB94ACD587A1,646544C79E1DBFF4024D622DDD9C9855839990E819591EB3A3C9AB94ACD587A1
228,적,U+C801,V319 atlas identity; V320 assignment,93/209/249,113/231/277,18,1,F38CADDEF21A31A767B2168BA1199430CDD6F93B01BF31D7BC0DBB13278C3BF2,BA7BB4404297153846F11A2964FF6539864FBEA0EE26333C74F9E9D5F575CF95
229,격,U+ACA9,V319 atlas identity; V320 assignment,81/233/249,101/211/277,18,1,738EA9C3C3200F9F86B342D359E38C6BCA65DAAFA2D5716EA04C103A38E24EB2,7FD13DB4AA8E798D480F17B5C18AA47478E7B6469EDEA3723D2A0DEFBFA24BD7
230,국,U+AD6D,V319 atlas identity; V320 assignment,121/240/305,121/218/333,19,1,7A249D533CFBE16BF6307B9140160E8307DEFA8CE2E968E22EE6DD86D6453F59,7D0D39F66F13FC3812E6A30EBFFE70B8E573067DD99E3AA0FEAE726CCB84BB62
231,쿠,U+CFE0,V319 atlas identity; V320 assignment,56/196/-1,56/174/-1,0,0,297EDA7C5FCB3CCDCEA80C513782693653D610AE8EB164CA06F53BB2EB89E30F,297EDA7C5FCB3CCDCEA80C513782693653D610AE8EB164CA06F53BB2EB89E30F
232,좋,U+C88B,V319 atlas identity; V320 assignment,113/213/303,133/235/359,54,1,73959F626C920D99687EEBFDA4124B91FF0BB518EE69E715B975B286A306C4B1,11FE9113885042B89A07ADA7F46CC5B6BFFE48A5F79F7C4F499A1955244A5E93
233,발,U+BC1C,V319 atlas identity; V320 assignment,88/205/256,108/227/256,16,1,074A026EBDC99E59E5E6AFE5AC7E83CE075B07681EFDDB23AD15EAB323783683,7E4E4FC41EB93270E38B28E6217390DA58C9E3F45E1BF1A68FC991B470C087AA
234,했,U+D588,V319 atlas identity; V320 assignment,99/206/268,119/228/324,21,1,44CEA9FBE4B4E1A91239F6618C5291ADDE31C91616762E1331EAEB3574B5E384,108EFCDDE30160FE2F3351AE77AD4EFC2D1337C62E40D04CBD7E321B1A1CBA41
235,공,U+ACF5,V319 atlas identity; V320 assignment,101/235/297,121/213/353,59,1,526714F0AD00A5BBC12EC9368A03E2643CFED3119F7B7D2BB95C59E33BBE7264,8F5CBD7F9871C15C5A7B5324A8FF59D9CCC937F5DF749AA5446A7820CFEFDB6E
236,계,U+ACC4,V319 atlas identity; V320 assignment,1/190/-1,1/168/-1,0,0,E462F50BAF4B03D7BD5CD4F13EDED449778A06EAD8490604A83B7A0E81ABE2E0,E462F50BAF4B03D7BD5CD4F13EDED449778A06EAD8490604A83B7A0E81ABE2E0
237,래,U+B798,V319 atlas identity; V320 assignment,6/162/-1,6/184/-1,0,0,055C123DDF8F63D12F07D837810CE6030E8FABF9F83835D31359F8B2BC2ACCC7,055C123DDF8F63D12F07D837810CE6030E8FABF9F83835D31359F8B2BC2ACCC7
238,불,U+BD88,V319 atlas identity; V320 assignment,128/218/312,128/240/340,23,1,D84160FBE9092F0E807D4EB64CC0B342CE1B78BC84A837C8A376E9FFA35772C2,D47028FCBC28862C70A8BF58F63FB17DF96828B34CB69A25D7FE27CA7FB94106
239,싸,U+C2F8,V319 atlas identity; V320 assignment,11/161/-1,11/183/-1,0,0,02CC185A77AD11D9F8BC43F382867C97A2BBE14ECB160374215FC640E1DB2DFF,02CC185A77AD11D9F8BC43F382867C97A2BBE14ECB160374215FC640E1DB2DFF
240,곳,U+ACF3,V319 atlas identity; V320 assignment,101/235/295,121/213/351,55,1,CC076130663F240D4A141FF7A6561717D7050048B8BABD46EDACD35446F83FA2,660A8C6CD4F2707D804449440183C8834E089B0BA24FF066336527DE94E28434
241,건,U+AC74,V319 atlas identity; V320 assignment,81/231/252,101/209/280,18,1,314393D34E89331F35AB20954181F005F20E7616F3CA2429BA6085624E749582,D5AD1151118EB351270DE382AACEF66560A31C8B3707EBCE5329F761E6336905
242,성,U+C131,V319 atlas identity; V320 assignment,90/209/269,110/231/297,18,1,37474B1AF591506F4E136E235FB9CA665DA744EB0C7249F9D1F8A1559EC12EB7,A1982BF8448177273D61265FD4D515FFEB6D99A45655D427B29F2686587EA80F
243,과,U+ACFC,V319 atlas identity; V320 assignment,61/192/-1,61/170/-1,0,0,183E1C2C4012070B305FADC18D1AFEE977064D7206F7B29352DD7A3BD8C26937,183E1C2C4012070B305FADC18D1AFEE977064D7206F7B29352DD7A3BD8C26937
244,받,U+BC1B,V319 atlas identity; V320 assignment,88/205/255,108/227/255,16,1,557C9F45FB94D8D564BB67C7A9307B945CA2C3AFC1B85C4D0F5F5B5CE687EB51,ADBBD048816E57A347AB947E0021F012C49252910525BBDDF1F65E11872A8529
245,용,U+C6A9,V319 atlas identity; V320 assignment,112/217/297,132/239/353,72,1,225BCB373529536B610DBE572DACC215577DFE37AC1A32103C424D6F56B10EDF,FB991FA6E3B6A901F53EFFDAF2562F169255C8DD755D8AC74892021659241F09
246,간,U+AC04,V319 atlas identity; V320 assignment,81/227/252,101/205/252,18,1,48B0A12ACA187452A2429E36BD05C41F5E3B9DBB81CF7E41745AF0A4EBE2CC3C,EB14049D577E7233B6EA17FB83394F0047F51CA17F8837E58447B4C353720CD9
247,당,U+B2F9,V319 atlas identity; V320 assignment,84/205/269,104/227/269,13,1,749B33E11DA957979DA0C610EE97E55DBB69BF533EA011D561DE2C38E04E8AAC,B6248F2EF3EDD21459F7B8EDD04BD4B25C6D4731EAF011054F415E92C30D1139
248,합,U+D569,V319 atlas identity; V320 assignment,99/205/265,119/227/265,22,1,0C2BCD5A85019E7D5F44426ED92CE4FCFFF8F2B52666012FBF995616483F5ECB,23BD56F59E4561148613432FC2982D7DC641510019EED66A87F290B2634844A2
249,알,U+C54C,V319 atlas identity; V320 assignment,92/205/256,112/227/256,22,1,58B7961AD15677D3F4F33645D0D4FD8905266F35F790504C0E200C70862762D3,493768662DBC50D4D3EFFEE4FA8BBAA0992C425685302AD835BD1B52DFD01E99
250,치,U+CE58,V319 atlas identity; V320 assignment,15/181/-1,15/203/-1,0,0,CB8CCEF48416186D7EB72513B1BA5FAE5B2FC333D98847CDE3E85E7D6C880639,CB8CCEF48416186D7EB72513B1BA5FAE5B2FC333D98847CDE3E85E7D6C880639
251,께,U+AED8,V319 atlas identity; V320 assignment,2/166/-1,2/188/-1,0,0,F7D3A6D1E5F7213EABE2571D37E609C4017C9FED5475B2C8E020414E2640C453,F7D3A6D1E5F7213EABE2571D37E609C4017C9FED5475B2C8E020414E2640C453
252,두,U+B450,V319 atlas identity; V320 assignment,44/174/-1,44/196/-1,0,0,A93D68376EDFD15F7968F2F683317102A95148B5BD8D8288C647C99D6DADA133,A93D68376EDFD15F7968F2F683317102A95148B5BD8D8288C647C99D6DADA133
253,람,U+B78C,V319 atlas identity; V320 assignment,86/205/264,106/227/264,15,1,4A9380FE8B4807EB87DC13CEB1CEB00E6C3272DD95A8992707D6310EC54B1A74,09888683B801ED88AE2419FDA48C9ED0923E7FFDBDF633AB721751E587ABE5CB
254,드,U+B4DC,V319 atlas identity; V320 assignment,24/179/-1,24/201/-1,0,0,A32D802672DF9862F756FCF4BCE11832F083FE75C7CAD1F6925F0E2BEF5035FC,A32D802672DF9862F756FCF4BCE11832F083FE75C7CAD1F6925F0E2BEF5035FC
255,저,U+C800,V319 atlas identity; V320 assignment,13/165/-1,13/187/-1,0,0,686639811E7D7D46EBB41DB7AA325738A50DFD0E22B5EA218E5B3508B73658F5,686639811E7D7D46EBB41DB7AA325738A50DFD0E22B5EA218E5B3508B73658F5
256,던,U+B358,V319 atlas identity; V320 assignment,84/209/252,104/231/280,13,1,9E4017AB79E61D0935238F7551D587CB2CDE16BD70B2D338E3FC74A8339303DE,E803324E041CE4C8B48FB01BE45B1350FE93544B62D19782E681D0D0E51AA5E7
257,든,U+B4E0,V319 atlas identity; V320 assignment,104/223/280,124/245/336,54,1,3382B583D0A02D10F62F1284676E6273C59977E5DD9C32F5BEE48B97146230EF,D79D269B4EAB46A48A4B7DF70793019A02802F44CF6A2D52FB612353E4C4FDD0
258,실,U+C2E4,V319 atlas identity; V320 assignment,90/225/256,110/247/284,18,1,03BC3476CA880EEF27AC81FAAD9737A76BD0BB9583A38A3B4CC34956778F6B18,473835F2F1D04806C54F60E1A5EEDCA35A104B8668E639F7BB6AABFBCCBA7261
259,강,U+AC15,V319 atlas identity; V320 assignment,81/227/269,101/205/269,18,1,13ADEC364A5CE38690C7B82482B26AFC7857C07A800145397AB1DC00B0B1C4C5,70AE544387C2095F1B1AAA169D3ABCBF1E12D9C3B89B524805588C43227CFD43
260,방,U+BC29,V319 atlas identity; V320 assignment,88/205/269,108/227/269,16,1,8FFA2478DF150EC5017998FADBF20DF1DC7AC19F432B5159A459AD5682E97621,82D8B0271DC4292D9F79393FEE8D088802BAACF2D0D6E48FC062406A1B691A26
261,런,U+B7F0,V319 atlas identity; V320 assignment,86/209/252,106/231/280,15,1,47CD01D433ED9356FC7C0A6324902333366524F89EA015CD338DD89A96E01A15,15EFEA0F261F562C40B8ADFF0E816B0160F31E6F9930135EDB4FB965E2653541
262,력,U+B825,V319 atlas identity; V320 assignment,86/211/249,106/233/277,15,1,02B13BAEEFE4BBD9E723DB23039B75B304C80AA25A5B183B349DA1E9CA33B7B1,1098A3CCC752A0391ED324B535495297B6D2D88C3491CA95B87836CEB780F0A0
263,메,U+BA54,V319 atlas identity; V320 assignment,7/166/-1,7/188/-1,0,0,37E6CAE248A1371CF8C625E9D6AC471D1E4FA166B6AEFBCE30535096E5CDFEC1,37E6CAE248A1371CF8C625E9D6AC471D1E4FA166B6AEFBCE30535096E5CDFEC1
264,았,U+C558,V319 atlas identity; V320 assignment,92/205/268,112/227/268,22,1,7F0BE86EB0814D57FF6D905F53BC32B6BEBB79590923A6F582E540FBEEA7D61A,AC6B5E07D0FED615BF69D5D4A1B6080B3638EE5F528C10D07A107E0316E607B3
265,님,U+B2D8,V319 atlas identity; V320 assignment,83/225/264,103/247/292,13,1,99032A83335B18F89050E88ECE22A017EAFA0D1E8A125479CA3A1FBA4A84A762,A183B8D5776AA5139D254EC13343A9A298842D0233C7EA5A7671746E30C5A5EB
266,미,U+BBF8,V319 atlas identity; V320 assignment,7/181/-1,7/203/-1,0,0,896775EDEF77EE06106C7BE34D01922499F9240F9D595AF28CC5A9AA93FD1516,896775EDEF77EE06106C7BE34D01922499F9240F9D595AF28CC5A9AA93FD1516
267,언,U+C5B8,V319 atlas identity; V320 assignment,92/209/252,112/231/280,22,1,DA0FC545D40457CDF261E16E9B5EB30C1C9826F837F9321CDF57F845F54CA839,676388E5CCA9B570B3EC1607D9E7D2746C8EC1A75B70980EC260D926EE258B4E
268,행,U+D589,V319 atlas identity; V320 assignment,99/206/269,119/228/325,37,1,D3B649571177701BB9AB4FB9BEDB5B56C69413B1E34C03C382C84369BB7A3C61,CD73F538391520FB2A6A1DBDD71BDE73AC5C64B446A3421F50CC8AD251B61975
269,동,U+B3D9,V319 atlas identity; V320 assignment,104/213/297,124/235/353,65,1,C0A7E70BD032C8A2068EF4651302F126C4478CC1DBD598D07DB47495CDF0CFEF,FD76F601B42FA58FC3DB49E497E65EAAB9CA571A92DC2CB73C0362D150D578E9
270,목,U+BAA9,V319 atlas identity; V320 assignment,107/213/277,127/235/333,53,1,02EBE1AD868763F804836C724E081E4FCE4C2F65B83E3B31E4102EFF8CB68F28,F3A3405D1F6B1EEE16E9C61A02261B80172B5F6B93129A10C34EB6F0D447D300
271,명,U+BA85,V319 atlas identity; V320 assignment,87/211/269,107/233/297,16,1,C9408221840501220CEB95478EB3A23328AEE94C473A79EC07BD2FF75D0EFF60,54D4E50ED2131374BB859346B0869CA901E9CDE3D821617C41ACFB6E44A22815
272,단,U+B2E8,V319 atlas identity; V320 assignment,84/205/252,104/227/252,13,1,F106B5761CA19292393749FF2E2B1FBFA939B5527ED7C5747282DC18BDEA71E3,218CDCFA770D501C127FB941ACFEA597F82C519B9777CD896E958779279C6EBB
273,생,U+C0DD,V319 atlas identity; V320 assignment,90/206/269,110/228/325,34,1,36A3E357D18D513962A659CBC01C2FCE0F72EC79C4CA36201664960854EC43FE,DE5FE9763872F854A50096151FA4B5FDDE63524B324493EACC01C0B1D21EF999
274,법,U+BC95,V319 atlas identity; V320 assignment,88/209/265,108/231/293,16,1,46730424237683C404D2EB216252C7E3ECD20A732D62199D77747F8C93494F1D,6964698C85B6658D05AC820734F0879DE676182FA83F339373A4A34161DC5715
275,카,U+CE74,V319 atlas identity; V320 assignment,16/183/-1,16/161/-1,0,0,148E3413AE99BBDA284C3D976966BA135FB871C5EF0B0A663AC5562A7CBABB55,148E3413AE99BBDA284C3D976966BA135FB871C5EF0B0A663AC5562A7CBABB55
276,투,U+D22C,V319 atlas identity; V320 assignment,57/174/-1,57/196/-1,0,0,78368E965DF2FDA5D8AF63A325020653344C28BE6E1D00C83D9ABD63171B56FD,78368E965DF2FDA5D8AF63A325020653344C28BE6E1D00C83D9ABD63171B56FD
277,찮,U+CC2E,V319 atlas identity; V320 assignment,95/205/254,115/227/254,18,1,F0C41681E5DD50E64A410F9D4CDFF3807219EDCF0D0DF3A245F2D1CE01F8E1F7,43E0A1E7F65F3A80CF3F6204C14A03E8008128214E02A093BC3C0574F9397825
278,괜,U+AD1C,V319 atlas identity; V320 assignment,141/237/336,141/215/308,24,1,0F0F875454FCA4453B2E85237968F68956DA0FF73DD673DBC78E5D663F052315,CBF4BC8510BA4CCE6EE9D98C89633F0A5E3B53421E9213D6FBF751A1604E5C72
279,피,U+D53C,V319 atlas identity; V320 assignment,18/181/-1,18/203/-1,0,0,8233BAD51A53F34215D153068AD6E5F0D86055B067D278E1132E90E968703214,8233BAD51A53F34215D153068AD6E5F0D86055B067D278E1132E90E968703214
280,남,U+B0A8,V319 atlas identity; V320 assignment,83/205/264,103/227/264,13,1,A0BCFEBFAA4FF391AE9DFAD5F288DA8A12CEB8F3339B61CD80E778F97BE54181,7099A51DB8C5175031E6AEFAED8CA9EE1ADF8492D3E8CABA6BD4008245B884F2
281,번,U+BC88,V319 atlas identity; V320 assignment,88/209/252,108/231/280,16,1,3509CD5430374429875B9F8379A22D49B210C5C4BA59799FC3D4AF84B4CC3A3E,637043110DE018D5393C3070386ABEFAE741E562BD7A5B3C4C075E76D63E39F3
282,진,U+C9C4,V319 atlas identity; V320 assignment,93/225/252,113/247/280,18,1,8A36459691F854BAE8E27E72A9CD3A7FD4AE2BE33E776B4442C54A708F33BCC8,96B2F3E7E69B9E0EC9E00C63497D895FCEDA35E9640791922DD3EF97B1381C4D
283,코,U+CF54,V319 atlas identity; V320 assignment,36/191/-1,36/169/-1,0,0,3CCDB24CB783D12AC3729A97410DA674B3CAB9FEA0B70E1722363B0C6EE71191,3CCDB24CB783D12AC3729A97410DA674B3CAB9FEA0B70E1722363B0C6EE71191
285,루,U+B8E8,V319 atlas identity; V320 assignment,46/174/-1,46/196/-1,0,0,0497749E998778776AB8248C20F9BC53B2442EC9B2356C68D91FCC0441D0C8CB,0497749E998778776AB8248C20F9BC53B2442EC9B2356C68D91FCC0441D0C8CB
286,희,U+D76C,V319 atlas identity; V320 assignment,79/180/-1,79/202/-1,0,0,BC84ACAD5D6CF75A93806F213034E947BF699506E58A85FF97A51EDBE5625843,BC84ACAD5D6CF75A93806F213034E947BF699506E58A85FF97A51EDBE5625843
287,떻,U+B5BB,V319 atlas identity; V320 assignment,85/209/275,105/231/303,19,1,71DDD78609565947D3F328F52874291C75919BDE5644B69AF9B826A3D30A9FA1,158514028E73A94458E137C8B7A405CAF00D695E52784714F74BC70930B90398
288,산,U+C0B0,V319 atlas identity; V320 assignment,90/205/252,110/227/252,18,1,34EA6C016D84E500D71AC24294DB712A53446CE0398BF6CF4D7D968C2666E5B0,90CF74808E286DF400A5CBC0E9D41B133651D7D83144FA6F64DF33BB6DC1595A
289,반,U+BC18,V319 atlas identity; V320 assignment,88/205/252,108/227/252,16,1,AC62468A562C6CED1DBE3D3DB9C5357B149930892EEC9F94282EAC38A7AB08BB,48E2F9D2243E58D81C3C48B68D3F407BC4A78E13327C76CF9E8B9B4AD3618289
290,결,U+ACB0,V319 atlas identity; V320 assignment,81/233/256,101/211/284,18,1,8F8AAB29DA2085366BEDACCB63259A3259893DF4FB2C33BF6A2835D50AE0B224,2734141172DAF815026A54FB9E4B38A976DD6100A1F49446FF0F481DDBD564CB
