검수번호,file,offset,현재_speaker,제안_speaker,register,mixed_register,speaker_lines,japanese,현재_korean,제안_korean,검수결과,심각도,문제유형,수정근거,확신도,현재_글자수,제안_글자수,글자수_증감,길이주의
981,32/S3068.DAT,0x47EE8,베미의 정령,베미의 정령,plain,MIXED,41,ベみの精霊 さっ、私からのおくり物です。,"베미의 정령: 자, 나의 선물입니다.","은혜의 정령: 자, 나의 선물입니다.",수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,20,20,0,
982,32/S3068.DAT,0x47F3A,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 もうあなた達に話すことはありません。,베미의 정령: 이제 당신들에게 할 말은 없습니다.,은혜의 정령: 이제 당신들에게 할 말은 없습니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,27,27,0,
983,32/S3068.DAT,0x47F86,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 身を持つて知つた経験を生かして正しい道をみつけて進みなさい。,베미의 정령: 몸소 몸으로 알게 된 경험을 살려 올바른 길을 찾아 나아가세요.,은혜의 정령: 몸소 겪은 경험을 살려 올바른 길을 찾아 나아가세요.,수정 권장,높음,중복 표현·용어,'몸소 몸으로' 중복을 제거.,높음,43,37,-6,
984,32/S3068.DAT,0x47FE8,베미의 정령,베미의 정령,polite,MIXED,41,ベみの精霊 私はいつもみています。,베미의 정령: 나는 언제나 보고 있습니다.,은혜의 정령: 나는 언제나 보고 있습니다.,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,23,23,0,
1089,4/S4033.DAT,0x47CDC,,,plain,,,<G:90>次の精霊はグレイシーヌに<G:89>よみますか？<CTRL:E5:03>よむ<CTRL:E5:03>よまない,다음 정령은 그레이시누에게. 읽으시겠습니까?|읽는다|읽지 않는다,다음 정령은 그레이시느에 있다. 읽겠습니까?|읽는다|읽지 않는다,수정 권장,높음,고유명사·의미,"'그레이시누' 오기와 장소 조사, 생략된 서술을 보완.",높음,35,35,0,
1115,4/S4033.DAT,0x485C8,,,,,,<CTRL:E5:03>とうぜんだよ<CTRL:E5:03>はじめて聞いた,|당연|처음,|당연하지|처음 들었어,수정 권장,낮음,메뉴 말투,대화형 선택지의 자연스러운 반말을 복원.,높음,6,12,6,확인 필요
1129,4/S4034.DAT,0x47FD8,,,,,,あと大会の主さい者のロクトールには気をつけるように。,그리고 대회 주최자 록토르에게는 조심하도록 해.,그리고 대회 주최자 로크톨에게는 조심하도록 해.,수정 권장,중간,용어·표기 통일,록토르→로크톨: 동일 인물의 다수 표기 '로크톨'로 통일.,높음,26,26,0,
1203,4/S4041.DAT,0x479A4,,,plain,,,ぼく、もうつかれちゃつたよ。,휴 지쳤어,"나, 이제 지쳤어.",수정 권장,중간,자연스러움,'휴 지쳤어'보다 원문의 어린 말투와 문장 의미를 충실히 반영.,높음,5,10,5,확인 필요
1236,5/S5013.DAT,0x47580,,,,,,<CTRL:E5:03>出発する<CTRL:E5:03>出発しない<CTRL:E5:03>いろいろ教えて!,|출발|그만|정보,|출발|취소|설명,수정 권장,중간,메뉴 자연스러움,'그만'보다 선택 기능을 정확히 나타내는 '취소'를 사용.,중간,9,9,0,
1240,5/S5013.DAT,0x478FE,,,,,,<CTRL:E5:03>出発する<CTRL:E5:03>出発しない<CTRL:E5:03>いろいろ教えて!,|출발|그만|정보,|출발|취소|설명,수정 권장,중간,메뉴 자연스러움,'그만'보다 선택 기능을 정확히 나타내는 '취소'를 사용.,중간,9,9,0,
1244,5/S5013.DAT,0x47C16,,,,,,<CTRL:E5:03>出発する<CTRL:E5:03>出発しない<CTRL:E5:03>いろいろ教えて! その2,|출발|그만|정보 2,|출발|취소|설명 2,수정 권장,중간,메뉴 자연스러움,'그만'보다 선택 기능을 정확히 나타내는 '취소'를 사용.,중간,11,11,0,
1250,5/S5013.DAT,0x47F08,,,,,,<CTRL:E5:03>アイテム・アクセサリーの効果。<CTRL:E5:03>戦闘の方向と反撃。<CTRL:E5:03>やつっり、いいや。,|아이템 정보|방향과 반격|그만,|아이템·장신구 효과|방향·반격|그만,수정 권장,중간,메뉴 의미·표기,액세서리 정보가 누락되지 않도록 보완하고 가운데점을 사용.,중간,17,20,3,확인 필요
1283,5/S5013.DAT,0x48BF6,초핀,초핀,,MIXED,288,チョピン トヨーケの森のベみの精霊をおぼえていますか？,초핀: 토요케 숲의 베미의 정령을 기억하십니까?,초핀: 토요케 숲의 은혜의 정령을 기억하십니까?,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,26,26,0,
1434,6/S6014.DAT,0x4794A,,,,,,<CTRL:E5:03>出発する<CTRL:E5:03>出発しない<CTRL:E5:03>いろいろ教えて! その2,|출발|그만|정보 2,|출발|취소|설명 2,수정 권장,중간,메뉴 자연스러움,'그만'보다 선택 기능을 정확히 나타내는 '취소'를 사용.,중간,11,11,0,
1468,6/S6014.DAT,0x48BA2,초핀,초핀,,MIXED,288,チョピン トヨーケの森のベみの精霊をおぼえていますか？,초핀: 토요케 숲의 베미의 정령을 기억하십니까?,초핀: 토요케 숲의 은혜의 정령을 기억하십니까?,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,26,26,0,
1531,6/S6041.DAT,0x4882E,땅의 정령,땅의 정령,plain,,4,地の精霊 それを、小手先ばかりまねて継承(けいしょう)するからこうなつてしまう。,땅의 정령: 그것을 모양만 따라 하며 계승하니 이렇게 되어 버린 게다.,대지의 정령: 그것을 모양만 따라 하며 계승하니 이렇게 되어 버린 게다.,수정 권장,중간,용어·표기 통일,땅의 정령→대지의 정령: 동일 정령의 기존 명칭과 판타지 용어를 통일.,높음,39,40,1,확인 필요
1532,6/S6041.DAT,0x488A2,,,,,,あなたは地の精霊？,당신은 땅의 정령?,당신은 대지의 정령?,수정 권장,중간,용어·표기 통일,땅의 정령→대지의 정령: 동일 정령의 기존 명칭과 판타지 용어를 통일.,높음,10,11,1,확인 필요
1534,6/S6041.DAT,0x48940,대지의 정령,대지의 정령,plain,,5,地の精霊 自分達がすう空気、食ベる物と同じ様にいつの聞にか、当然自分達が得られるものと思い込むからゆがみ始める。,"대지의 정령: 자신들이 마시는 공기, 먹는 것과 마찬가지로 어느새 당연히 자기들이 얻는 것이라 여기기에 어긋나기 시작하는 것이다.","대지의 정령: 자신들이 들이마시는 공기와 먹는 것처럼, 어느새 당연히 얻을 수 있는 것이라 여기기 때문에 그릇되기 시작하는 것이다.",수정 권장,중간,자연스러움·용어,'마시는 공기'와 일본어식 문장 구조를 정리.,높음,72,73,1,확인 필요
1535,6/S6041.DAT,0x489C2,땅의 정령,땅의 정령,plain,,4,地の精霊 おまえら人聞だけのためのものなど何もないんじゃ。,땅의 정령: 너희 인간만을 위한 것은 아무것도 없다.,대지의 정령: 너희 인간만을 위한 것은 아무것도 없다.,수정 권장,중간,용어·표기 통일,땅의 정령→대지의 정령: 동일 정령의 기존 명칭과 판타지 용어를 통일.,높음,29,30,1,확인 필요
1536,6/S6041.DAT,0x48A16,땅의 정령,땅의 정령,plain,,4,地の精霊 あるのは、この世界に生きるもの全てが分かちあうものばかりじゃ。,땅의 정령: 있는 것은 이 세상에 사는 모든 것이 함께 나누는 것뿐이다.,대지의 정령: 있는 것은 이 세상에 사는 모든 것이 함께 나누는 것뿐이다.,수정 권장,중간,용어·표기 통일,땅의 정령→대지의 정령: 동일 정령의 기존 명칭과 판타지 용어를 통일.,높음,40,41,1,확인 필요
1539,6/S6041.DAT,0x48B6C,땅의 정령,땅의 정령,plain,,4,地の精霊 わしらはいつでも見ているぞ。,땅의 정령: 우리는 언제나 지켜보고 있다.,대지의 정령: 우리는 언제나 지켜보고 있다.,수정 권장,중간,용어·표기 통일,땅의 정령→대지의 정령: 동일 정령의 기존 명칭과 판타지 용어를 통일.,높음,23,24,1,확인 필요
1567,6/S6054.DAT,0x45002,,,plain,,,<CTRL:E5:03>チョピン<CTRL:E5:03>チョビン<CTRL:E5:03>チョースケ<CTRL:E5:03>チョンガラ,|초핀|초비|초스케|초카라,|초핀|초빈|초스케|촌가라,수정 권장,높음,고유명사·메뉴,チョンガラ를 '초카라'로 잘못 표기. 선택지 음차도 정리.,중간,14,14,0,
1570,6/S6054.DAT,0x450F6,,,plain,,,<CTRL:E5:03>ミルマーナ<CTRL:E5:03>スメリア<CTRL:E5:03>アララトス<CTRL:E5:03>カーデル,|밀마|스메|아라라|카델,|밀마나|수메리아|아라라토스|카델,수정 권장,높음,고유명사·메뉴,국가명이 지나치게 축약되어 고유명사를 알아보기 어려움. 글자 수 제한 확인 필요.,중간,13,18,5,확인 필요
1584,6/S6054.DAT,0x45580,라마다 승려,라마다 승려,,,1,ラマダ僧 首都の軍オフィスには、実は地下50階のダンジョンが・・,라마다 승려: 수도의 군 오피스에는 사실 지하 50층 던전이...,라마다 승려: 수도의 군 본부에는 사실 지하 50층 던전이...,수정 권장,중간,자연스러움·화자명,'군 오피스'를 세계관에 어울리는 표현으로 수정.,높음,36,35,-1,
1660,7/S7012.DAT,0x47A74,,,,,,<CTRL:E5:03>出発する<CTRL:E5:03>出発しない<CTRL:E5:03>いろいろ教えて! その2,|출발|그만|정보 2,|출발|취소|설명 2,수정 권장,중간,메뉴 자연스러움,'그만'보다 선택 기능을 정확히 나타내는 '취소'를 사용.,중간,11,11,0,
1665,7/S7012.DAT,0x47D90,초핀,초핀,,MIXED,288,チョピン 何が知りたいですか？,초핀: 무엇이 알고 싶으십니까?,초핀: 무엇을 알고 싶으십니까?,수정 권장,중간,용어·표기 통일,조사 오류: '무엇이'가 아니라 목적격 '무엇을'이 자연스러움.,높음,17,17,0,
1689,7/S7012.DAT,0x4869A,초핀,초핀,,MIXED,288,チョピン トヨーケの森のベみの精霊をおぼえていますか？,초핀: 토요케 숲의 베미의 정령을 기억하십니까?,초핀: 토요케 숲의 은혜의 정령을 기억하십니까?,수정 권장,중간,용어·표기 통일,베미의 정령→은혜의 정령: ベみ는 恵み 계열 표기로 보이며 동일 파일에도 '은혜의 정령'이 사용됨.,높음,26,26,0,
1719,7/S7021.DAT,0x47D58,,,plain,,,こうたいしようか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1720,7/S7021.DAT,0x47E66,,,plain,,,こうたいしようか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1721,7/S7021.DAT,0x47F74,,,plain,,,こうたいしようか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1722,7/S7021.DAT,0x48082,,,plain,,,こうたいしようか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1723,7/S7021.DAT,0x48190,,,plain,,,こうたいしようか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1724,7/S7021.DAT,0x4829E,,,plain,,,こうたいしようか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1725,7/S7021.DAT,0x483AC,,,plain,,,こうたいしようか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1733,7/S7021.DAT,0x48D26,,,polite,,,大会委員 参加なさいますか？<CTRL:E5:03>参加する<CTRL:E5:03>参加しない,출전할까요?|출전|그만,출전하시겠습니까?|출전|취소,수정 권장,중간,메뉴 자연스러움,정중한 질문과 취소 선택지를 정확히 표현.,높음,12,15,3,확인 필요
1747,7/S7021.DAT,0x49316,안내 방송,안내 방송,plain,,2,アナウンス まもなく、大会の主さい者であるロクトール様からのあいさつが始まります。,안내 방송: 곧 대회 주최자이신 록토르 님의 인사말이 시작됩니다.,안내 방송: 곧 대회 주최자이신 로크톨 님의 인사말이 시작됩니다.,수정 권장,중간,용어·표기 통일,록토르→로크톨: 동일 인물의 다수 표기 '로크톨'로 통일.,높음,36,36,0,
1756,7/S7022.DAT,0x47FCE,,,plain,,,こうたいしようか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1757,7/S7022.DAT,0x480DC,,,plain,,,こうたいする？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할래?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1758,7/S7022.DAT,0x481E8,,,plain,,,おれかい？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,나 말이야?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,12,3,확인 필요
1759,7/S7022.DAT,0x482F2,,,plain,,,ぼくかな？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,나인가?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,10,1,확인 필요
1760,7/S7022.DAT,0x483FC,,,plain,,,わしかね？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,나로 할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,12,3,확인 필요
1761,7/S7022.DAT,0x48506,,,plain,,,かわるか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1762,7/S7022.DAT,0x48610,,,plain,,,こうたいしようかね？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1776,7/S7022.DAT,0x49196,,,,,,エントリーをやりなおしますか。<CTRL:E5:03>やりなおす<CTRL:E5:03>つづける,처음부터?|다시|계속,출전 등록을 다시 할까요?|다시|계속,수정 권장,중간,메뉴 의미,'처음부터?'보다 출전 등록을 다시 한다는 의미가 분명함.,중간,11,20,9,확인 필요
1777,7/S7023.DAT,0x47D58,,,plain,,,こうたいしようか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1778,7/S7023.DAT,0x47E66,,,plain,,,こうたいする？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할래?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1779,7/S7023.DAT,0x47F72,,,plain,,,かわつてやろうか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,내가 교대해 줄까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,16,7,확인 필요
1780,7/S7023.DAT,0x48080,,,plain,,,ぼくとかわる？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,나랑 교대할래?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,14,5,확인 필요
1781,7/S7023.DAT,0x4818C,,,plain,,,わしか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,나인가?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,10,1,확인 필요
1782,7/S7023.DAT,0x48296,,,plain,,,かわるか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1783,7/S7023.DAT,0x483A0,,,plain,,,こうたいするかい？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1804,7/S7023.DAT,0x491C6,,,,,,エントリーをやりなおしますか。<CTRL:E5:03>やりなおす<CTRL:E5:03>つづける,처음부터?|다시|계속,출전 등록을 다시 할까요?|다시|계속,수정 권장,중간,메뉴 의미,'처음부터?'보다 출전 등록을 다시 한다는 의미가 분명함.,중간,11,20,9,확인 필요
1805,7/S7023.DAT,0x4922C,,,,,,1回戦からやりなおしになります。よろしいですか？<CTRL:E5:03>はい<CTRL:E5:03>とんでもない,1회전부터?|예|아니오,1회전부터 다시 합니다. 괜찮습니까?|예|아니오,수정 권장,높음,메뉴 의미,1회전부터 재시작된다는 안내를 생략하지 않도록 보완.,높음,12,26,14,확인 필요
1807,7/S7024.DAT,0x47D58,,,plain,,,こうたいしようか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1808,7/S7024.DAT,0x47E66,,,plain,,,こうたいする？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할래?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1809,7/S7024.DAT,0x47F72,,,plain,,,おれかい？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,나 말이야?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,12,3,확인 필요
1810,7/S7024.DAT,0x4807C,,,plain,,,ぼくだね？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,나지?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,9,0,
1811,7/S7024.DAT,0x48186,,,plain,,,こうたいしようかの？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1812,7/S7024.DAT,0x48296,,,plain,,,かわるか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1813,7/S7024.DAT,0x483A0,,,plain,,,こうたいしようかね？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1835,7/S7024.DAT,0x4922A,,,,,,エントリーをやりなおしますか。<CTRL:E5:03>やりなおす<CTRL:E5:03>つづける,처음부터?|다시|계속,출전 등록을 다시 할까요?|다시|계속,수정 권장,중간,메뉴 의미,'처음부터?'보다 출전 등록을 다시 한다는 의미가 분명함.,중간,11,20,9,확인 필요
1836,7/S7024.DAT,0x49290,,,,,,1回戦からやりなおしになります。よろしいですか？<CTRL:E5:03>はい<CTRL:E5:03>とんでもない,1회전부터?|예|아니오,1회전부터 다시 합니다. 괜찮습니까?|예|아니오,수정 권장,높음,메뉴 의미,1회전부터 재시작된다는 안내를 생략하지 않도록 보완.,높음,12,26,14,확인 필요
1845,7/S7025.DAT,0x47FDC,,,plain,,,こうたいしようか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1846,7/S7025.DAT,0x480EA,,,plain,,,かわろうか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1847,7/S7025.DAT,0x481F6,,,plain,,,おれのばんだな？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,내 차례지?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,12,3,확인 필요
1848,7/S7025.DAT,0x48304,,,plain,,,ぼく？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,나?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,8,-1,
1849,7/S7025.DAT,0x4840C,,,plain,,,わしかな、やつっり？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,역시 나인가?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,13,4,확인 필요
1850,7/S7025.DAT,0x4851C,,,plain,,,む？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1851,7/S7025.DAT,0x48624,,,plain,,,こうたい？こうたい？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대? 교대?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,13,4,확인 필요
1867,7/S7025.DAT,0x4923A,,,,,,エントリーをやりなおしますか。<CTRL:E5:03>やりなおす<CTRL:E5:03>つづける,처음부터?|다시|계속,출전 등록을 다시 할까요?|다시|계속,수정 권장,중간,메뉴 의미,'처음부터?'보다 출전 등록을 다시 한다는 의미가 분명함.,중간,11,20,9,확인 필요
1868,7/S7025.DAT,0x492A0,,,,,,1回戦からやりなおしになります。よろしいですか？<CTRL:E5:03>はい<CTRL:E5:03>とんでもない,1회전부터?|예|아니오,1회전부터 다시 합니다. 괜찮습니까?|예|아니오,수정 권장,높음,메뉴 의미,1회전부터 재시작된다는 안내를 생략하지 않도록 보완.,높음,12,26,14,확인 필요
1877,7/S7026.DAT,0x48006,,,plain,,,こうたいか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대인가?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1878,7/S7026.DAT,0x48112,,,plain,,,かわろうか？<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대할까?|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
1879,7/S7026.DAT,0x4821E,,,plain,,,おれだぜ、やつっり。<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,역시 나지.|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,12,3,확인 필요
1880,7/S7026.DAT,0x4832E,,,plain,,,こうたいしようよ。<CTRL:E5:03>こうたいする<CTRL:E5:03>こうたいしない,변경?|변경|유지,교대하자.|교대|유지,수정 권장,중간,메뉴 용어·캐릭터 말투,'변경'을 전투 파티 문맥의 '교대'로 바꾸고 첫 문장의 캐릭터 말투를 구분.,중간,9,11,2,확인 필요
