row_number,source_file,offset,classification,target_korean,span_count,control_count,inline_spans,slot_a_spans,slot_b_spans,binary_changed,placement_json,review_status
785,31/S3014.DAT,0x4758C,빌드대기,초핀: 싸움은 머리를 쓰지 않으면 안 됩니다. 힘만으로는 안 되는 법입니다.,3,2,2,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":18,""room"":18,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""싸움은 머리를 쓰지 않으면""},{""mode"":""slot-B"",""bytes"":25,""room"":13,""rows"":2,""slot"":0,""disk_id"":""D1"",""span"":2,""text"":""안 됩니다. 힘만으로는 안 되는 법입니다.""}]",
787,31/S3014.DAT,0x4762E,B검수필요,초핀: 강한 상대와 싸울수록 더 많은 경험을 쌓을 수 있습니다.,2,1,1,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-B"",""bytes"":39,""room"":33,""rows"":2,""slot"":1,""disk_id"":""D2"",""span"":1,""text"":""강한 상대와 싸울수록 더 많은 경험을 쌓을 수 있습니다.""}]",needs_human_review
791,31/S3014.DAT,0x47790,빌드대기,...,1,0,1,0,0,1,"[{""mode"":""inline"",""bytes"":3,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""...""}]",
792,31/S3014.DAT,0x477D6,B검수필요,초핀: 동료가 늘어나면 전투에서 맡은 역할에 따라 레벨 차이도 커집니다.,3,2,2,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":17,""room"":19,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""동료가 늘어나면 전투에서""},{""mode"":""slot-B"",""bytes"":30,""room"":15,""rows"":2,""slot"":2,""disk_id"":""D3"",""span"":2,""text"":""맡은 역할에 따라 레벨 차이도 커집니다.""}]",needs_human_review
794,31/S3014.DAT,0x4788A,B검수필요,초핀: 캐릭터들의 방어력이 비슷해지도록 맞춰 보는 건 어떨까요?,2,1,1,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-B"",""bytes"":42,""room"":41,""rows"":2,""slot"":3,""disk_id"":""D4"",""span"":1,""text"":""캐릭터들의 방어력이 비슷해지도록 맞춰 보는 건 어떨까요?""}]",needs_human_review
796,31/S3014.DAT,0x4794A,B검수필요,"낙오자라니, 누구를 말하는 게냐?",1,0,0,0,1,1,"[{""mode"":""slot-B"",""bytes"":21,""room"":16,""rows"":2,""slot"":4,""disk_id"":""D5"",""span"":0,""text"":""낙오자라니, 누구를 말하는 게냐?""}]",needs_human_review
797,31/S3014.DAT,0x47996,선택지,|아라라토스 유적|미르마나의 이후|라마다 수행|그만,8,7,4,0,0,1,"[{""mode"":""inline"",""bytes"":9,""room"":15,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""아라라토스 유적""},{""mode"":""inline"",""bytes"":10,""room"":10,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""미르마나의 이후""},{""mode"":""inline"",""bytes"":7,""room"":10,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""라마다 수행""},{""mode"":""inline"",""bytes"":2,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""그만""}]",
799,31/S3014.DAT,0x47A78,B검수필요,초핀: 그곳에서만 얻을 수 있고 몬스터가 지키는 장신구도 있다고 들었습니다.,4,3,3,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":15,""room"":17,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""그곳에서만 얻을 수 있고""},{""mode"":""inline"",""bytes"":14,""room"":19,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""몬스터가 지키는 장신구도""},{""mode"":""slot-B"",""bytes"":10,""room"":5,""rows"":1,""slot"":5,""disk_id"":""D6"",""span"":3,""text"":""있다고 들었습니다.""}]",needs_human_review
800,31/S3014.DAT,0x47ADE,B검수필요,초핀: 실력도 시험할 겸 가끔 가 보는 건 어떨까요?,3,2,2,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":17,""room"":19,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""실력도 시험할 겸 가끔""},{""mode"":""slot-B"",""bytes"":14,""room"":6,""rows"":1,""slot"":6,""disk_id"":""D7"",""span"":2,""text"":""가 보는 건 어떨까요?""}]",needs_human_review
806,31/S3014.DAT,0x47CD6,B검수필요,초핀: 미르마나에는 배틀 에어리어가 세 곳 있습니다. 가끔 찾아가 이야기를 들어 보세요.,4,3,3,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":18,""room"":20,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""미르마나에는 배틀 에어리어가""},{""mode"":""slot-B"",""bytes"":19,""room"":14,""rows"":1,""slot"":7,""disk_id"":""D8"",""span"":2,""text"":""세 곳 있습니다. 가끔 찾아가""},{""mode"":""inline"",""bytes"":12,""room"":13,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""이야기를 들어 보세요.""}]",needs_human_review
807,31/S3014.DAT,0x47D42,B검수필요,초핀: 찾아가면 만능약을 받을 수 있다고 합니다.,2,1,1,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-B"",""bytes"":28,""room"":20,""rows"":2,""slot"":8,""disk_id"":""D9"",""span"":1,""text"":""찾아가면 만능약을 받을 수 있다고 합니다.""}]",needs_human_review
808,31/S3014.DAT,0x47D92,B검수필요,참 친절하구나.,1,0,0,0,1,1,"[{""mode"":""slot-B"",""bytes"":11,""room"":8,""rows"":1,""slot"":9,""disk_id"":""DA"",""span"":0,""text"":""참 친절하구나.""}]",needs_human_review
812,31/S3014.DAT,0x47EE4,B검수필요,초핀: 어느 것에 관해 말씀드릴까요?,2,1,1,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-B"",""bytes"":18,""room"":15,""rows"":1,""slot"":10,""disk_id"":""DB"",""span"":1,""text"":""어느 것에 관해 말씀드릴까요?""}]",needs_human_review
813,31/S3014.DAT,0x47F3C,선택지,|스톤 서클|링 위치 설정|소환수에 대해|다음 페이지,8,7,4,0,0,1,"[{""mode"":""inline"",""bytes"":7,""room"":8,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""스톤 서클""},{""mode"":""inline"",""bytes"":10,""room"":12,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""링 위치 설정""},{""mode"":""inline"",""bytes"":9,""room"":10,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""소환수에 대해""},{""mode"":""inline"",""bytes"":6,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""다음 페이지""}]",
814,31/S3014.DAT,0x47FB8,선택지,|포코의 악기|투기장|키토우올|그만,8,7,3,0,1,1,"[{""mode"":""slot-B"",""bytes"":9,""room"":7,""rows"":1,""slot"":11,""disk_id"":""DC"",""span"":1,""text"":""포코의 악기""},{""mode"":""inline"",""bytes"":4,""room"":4,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""투기장""},{""mode"":""inline"",""bytes"":5,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""키토우올""},{""mode"":""inline"",""bytes"":2,""room"":8,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""그만""}]",
815,31/S3014.DAT,0x4802A,선택지,|스톤 서클|링 위치 설정|소환수|다음 페이지,8,7,4,0,0,1,"[{""mode"":""inline"",""bytes"":7,""room"":8,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""스톤 서클""},{""mode"":""inline"",""bytes"":10,""room"":12,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""링 위치 설정""},{""mode"":""inline"",""bytes"":5,""room"":6,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""소환수""},{""mode"":""inline"",""bytes"":6,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""다음 페이지""}]",
816,31/S3014.DAT,0x480A2,선택지,|포코의 악기|투기장|키토우올|다음 페이지,8,7,3,0,1,1,"[{""mode"":""slot-B"",""bytes"":9,""room"":7,""rows"":1,""slot"":11,""disk_id"":""DC"",""span"":1,""text"":""포코의 악기""},{""mode"":""inline"",""bytes"":4,""room"":4,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""투기장""},{""mode"":""inline"",""bytes"":5,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""키토우올""},{""mode"":""inline"",""bytes"":6,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""다음 페이지""}]",
817,31/S3014.DAT,0x48114,선택지,|라마다사의 수행|로맨싱 스톤|장신구 비단 띠|그만,8,7,4,0,0,1,"[{""mode"":""inline"",""bytes"":9,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""라마다사의 수행""},{""mode"":""inline"",""bytes"":9,""room"":10,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""로맨싱 스톤""},{""mode"":""inline"",""bytes"":11,""room"":15,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""장신구 비단 띠""},{""mode"":""inline"",""bytes"":2,""room"":8,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":7,""text"":""그만""}]",
818,31/S3014.DAT,0x4818E,B검수필요,초핀: 고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?,2,1,1,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-B"",""bytes"":49,""room"":43,""rows"":3,""slot"":12,""disk_id"":""DD"",""span"":1,""text"":""고겐 님이 동료가 된 뒤에 오르카스 언덕의 스톤 서클에 가 보셨습니까?""}]",needs_human_review
819,31/S3014.DAT,0x481F2,B검수필요,초핀: 여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클이니까요...,2,1,1,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""slot-B"",""bytes"":41,""room"":35,""rows"":2,""slot"":13,""disk_id"":""DE"",""span"":1,""text"":""여기서는 어떤 아이템을 얻을 수 있습니다. 스톤 서클이니까요...""}]",needs_human_review
821,31/S3014.DAT,0x482B6,B검수필요,초핀: 그때 커서와 버튼으로 링 안의 기술을 고른 뒤 아이콘 위치를 변경할 수 있습니다.,3,2,2,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":8,""room"":11,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""그때 커서와 ""},{""mode"":""slot-B"",""bytes"":44,""room"":35,""rows"":3,""slot"":14,""disk_id"":""DF"",""span"":2,""text"":""버튼으로 링 안의 기술을 고른 뒤 아이콘 위치를 변경할 수 있습니다.""}]",needs_human_review
822,31/S3014.DAT,0x48320,B검수필요,초핀: 한 번 바꾸면 저장되므로 계속 사용할 수 있습니다.,3,2,2,0,1,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":17,""room"":21,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""한 번 바꾸면 저장되므로""},{""mode"":""slot-B"",""bytes"":17,""room"":10,""rows"":1,""slot"":15,""disk_id"":""E0"",""span"":2,""text"":""계속 사용할 수 있습니다.""}]",needs_human_review
823,31/S3014.DAT,0x4837E,빌드대기,초핀: 소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.,2,1,2,0,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":61,""room"":61,""rows"":3,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""소환수는 전부 여섯까지라고 들었습니다. 그중엔 찾기 어려운 것도 있으니 여기저기 찾아 보십시오.""}]",
824,31/S3014.DAT,0x483F8,B검수필요,초핀: 포코 님의 악기는 모두 8개라고 들었습니다. 전부 찾으면 상당히 강해질 겁니다.,2,1,2,0,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":56,""room"":57,""rows"":3,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""포코 님의 악기는 모두 8개라고 들었습니다. 전부 찾으면 상당히 강해질 겁니다.""}]",needs_human_review
833,31/S3014.DAT,0x487A8,B검수필요,초핀: 경험치를 두 배로 주는 「비단 띠」는 누구나 착용할 수 있습니다.,3,2,3,0,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":5,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""초핀:""},{""mode"":""inline"",""bytes"":34,""room"":43,""rows"":2,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""경험치를 두 배로 주는 「비단 띠」는 누구나""},{""mode"":""inline"",""bytes"":13,""room"":14,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""착용할 수 있습니다.""}]",needs_human_review
862,31/S3022.DAT,0x48822,선택지,병사: 출발하시겠습니까?|출발한다|그만둔다,6,5,1,3,0,1,"[{""mode"":""slot-A"",""bytes"":4,""room"":3,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":0,""text"":""병사:""},{""mode"":""slot-A"",""bytes"":10,""room"":9,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":1,""text"":""출발하시겠습니까?""},{""mode"":""slot-A"",""bytes"":5,""room"":4,""rows"":1,""slot"":2,""disk_id"":""83"",""span"":3,""text"":""출발한다""},{""mode"":""inline"",""bytes"":5,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":5,""text"":""그만둔다""}]",
903,31/S3024.DAT,0x45ECA,빌드대기,병사|흥!|좀 강하다고 잘난 척하지 마.,4,3,3,0,0,1,"[{""mode"":""inline"",""bytes"":2,""room"":3,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""병사""},{""mode"":""inline"",""bytes"":3,""room"":4,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""흥!""},{""mode"":""inline"",""bytes"":21,""room"":24,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":3,""text"":""좀 강하다고 잘난 척하지 마.""}]",
935,31/S3024.DAT,0x46966,빌드대기,아이|앗! 뱀파이어 배트 버스터다.,3,2,3,0,0,1,"[{""mode"":""inline"",""bytes"":2,""room"":4,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""아이""},{""mode"":""inline"",""bytes"":3,""room"":3,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""앗!""},{""mode"":""inline"",""bytes"":17,""room"":21,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""뱀파이어 배트 버스터다.""}]",
961,31/S3024.DAT,0x47F68,선택지,|아크|쿠쿠루|토슈,7,6,3,1,0,1,"[{""mode"":""inline"",""bytes"":0,""room"":3,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""""},{""mode"":""inline"",""bytes"":2,""room"":3,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""아크""},{""mode"":""slot-A"",""bytes"":6,""room"":3,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":4,""text"":""쿠쿠루""},{""mode"":""inline"",""bytes"":3,""room"":4,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":6,""text"":""토슈""}]",
969,31/S3031.DAT,0x47C40,빌드대기,야군: 하지만 그건 아이들에게는 무리입니다. 너무 위험합니다.,3,2,2,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":4,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""야군:""},{""mode"":""inline"",""bytes"":14,""room"":21,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""하지만 그건 아이들에게는""},{""mode"":""slot-A"",""bytes"":18,""room"":9,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":2,""text"":""무리입니다. 너무 위험합니다.""}]",
993,31/S3032.DAT,0x47994,빌드대기,야군: 알겠습니다. 숲까지 가는 열차 탑승을 허가하지요.,3,2,2,1,0,1,"[{""mode"":""inline"",""bytes"":4,""room"":4,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""야군:""},{""mode"":""slot-A"",""bytes"":15,""room"":7,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":1,""text"":""알겠습니다. 숲까지 가는""},{""mode"":""inline"",""bytes"":17,""room"":25,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""열차 탑승을 허가하지요.""}]",
1035,32/S3061.DAT,0x48344,빌드대기,"은혜의 정령: 자, 스메리아의 토우빌로 돌아가거라.",3,2,2,1,0,1,"[{""mode"":""slot-A"",""bytes"":9,""room"":6,""rows"":1,""slot"":9,""disk_id"":""8A"",""span"":0,""text"":""은혜의 정령:""},{""mode"":""inline"",""bytes"":2,""room"":3,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""자,""},{""mode"":""inline"",""bytes"":19,""room"":19,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""스메리아의 토우빌로 돌아가거라.""}]",
1045,32/S3062.DAT,0x47E48,빌드대기,"은혜의 정령: 자, 토우빌로 향하거라.",2,1,1,1,0,1,"[{""mode"":""slot-A"",""bytes"":9,""room"":6,""rows"":1,""slot"":2,""disk_id"":""83"",""span"":0,""text"":""은혜의 정령:""},{""mode"":""inline"",""bytes"":15,""room"":19,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""자, 토우빌로 향하거라.""}]",
1048,32/S3063.DAT,0x47D88,빌드대기,은혜의 정령: 그는 그곳에서 너희의 역사를 계속 지켜보고 있었단다.,3,2,1,2,0,1,"[{""mode"":""slot-A"",""bytes"":9,""room"":6,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":0,""text"":""은혜의 정령:""},{""mode"":""inline"",""bytes"":18,""room"":20,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""그는 그곳에서 너희의 역사를""},{""mode"":""slot-A"",""bytes"":17,""room"":11,""rows"":1,""slot"":4,""disk_id"":""85"",""span"":2,""text"":""계속 지켜보고 있었단다.""}]",
1108,4/S4021.DAT,0x47992,빌드대기,병사1: 팔렌시아 최고의 경호원도 잘됐군.,3,2,2,1,0,1,"[{""mode"":""slot-A"",""bytes"":5,""room"":4,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":0,""text"":""병사1:""},{""mode"":""inline"",""bytes"":16,""room"":16,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""팔렌시아 최고의 경호원도""},{""mode"":""inline"",""bytes"":6,""room"":8,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""잘됐군.""}]",
1113,4/S4021.DAT,0x47AFA,빌드대기,"병사2: 개조하는 거지, 살기 좋게.",3,2,1,2,0,1,"[{""mode"":""slot-A"",""bytes"":5,""room"":4,""rows"":1,""slot"":5,""disk_id"":""86"",""span"":0,""text"":""병사2:""},{""mode"":""inline"",""bytes"":9,""room"":9,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""개조하는 거지,""},{""mode"":""slot-A"",""bytes"":9,""room"":8,""rows"":1,""slot"":6,""disk_id"":""87"",""span"":2,""text"":"" 살기 좋게.""}]",
1115,4/S4021.DAT,0x47B8E,빌드대기,무슨 개조냐. 살고 있는 사람들을 뭐라고 생각하는 거야!,3,2,2,1,0,1,"[{""mode"":""slot-A"",""bytes"":23,""room"":8,""rows"":1,""slot"":7,""disk_id"":""88"",""span"":0,""text"":""무슨 개조냐. 살고 있는 사람들을""},{""mode"":""inline"",""bytes"":11,""room"":11,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""뭐라고 생각하는""},{""mode"":""inline"",""bytes"":3,""room"":7,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""거야!""}]",
1119,4/S4022.DAT,0x47A0C,빌드대기,병사2: 대신이 밀고 있는 팔렌시아 개조 계획에 맞선 죄로 말이지.,2,1,0,2,0,1,"[{""mode"":""slot-A"",""bytes"":5,""room"":4,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":0,""text"":""병사2:""},{""mode"":""slot-A"",""bytes"":41,""room"":34,""rows"":2,""slot"":1,""disk_id"":""82"",""span"":1,""text"":""대신이 밀고 있는 팔렌시아 개조 계획에 맞선 죄로 말이지.""}]",
1120,4/S4022.DAT,0x47A68,빌드대기,"너희, 약속만은 지켜 줄 거지!",1,0,1,0,0,1,"[{""mode"":""inline"",""bytes"":22,""room"":25,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""너희, 약속만은 지켜 줄 거지!""}]",
1122,4/S4022.DAT,0x47AFA,빌드대기,두목과 부하들의 목숨을 담보로 난 이 일을 하는 거야.,3,2,2,1,0,1,"[{""mode"":""inline"",""bytes"":11,""room"":12,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""두목과 부하들의""},{""mode"":""slot-A"",""bytes"":15,""room"":7,""rows"":1,""slot"":2,""disk_id"":""83"",""span"":1,""text"":""목숨을 담보로 난 이""},{""mode"":""inline"",""bytes"":9,""room"":10,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""일을 하는 거야.""}]",
1125,4/S4022.DAT,0x47BF6,빌드대기,병사2: 그런데 정말 잘 타는군.,2,1,0,2,0,1,"[{""mode"":""slot-A"",""bytes"":5,""room"":4,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":0,""text"":""병사2:""},{""mode"":""slot-A"",""bytes"":16,""room"":13,""rows"":1,""slot"":6,""disk_id"":""87"",""span"":1,""text"":""그런데 정말 잘 타는군.""}]",
1129,4/S4022.DAT,0x47D34,빌드대기,병사1: 결행은 내일이다. 곧 그놈들과 같은 곳으로 갈 수 있을 거야.,3,2,1,2,0,1,"[{""mode"":""slot-A"",""bytes"":5,""room"":4,""rows"":1,""slot"":8,""disk_id"":""89"",""span"":0,""text"":""병사1:""},{""mode"":""slot-A"",""bytes"":21,""room"":9,""rows"":1,""slot"":9,""disk_id"":""8A"",""span"":1,""text"":""결행은 내일이다. 곧 그놈들과""},{""mode"":""inline"",""bytes"":20,""room"":20,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""같은 곳으로 갈 수 있을 거야.""}]",
1131,4/S4022.DAT,0x47E1E,빌드대기,두목님... 동생분들...,3,2,2,0,0,1,"[{""mode"":""inline"",""bytes"":9,""room"":10,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""두목님...""},{""mode"":""inline"",""bytes"":9,""room"":12,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":2,""text"":""동생분들...""}]",
1150,4/S4031.DAT,0x47F7A,빌드대기,앞으로 네 여행에 도움이 될 옛 전기는 토우빌 안쪽의,2,1,2,0,0,1,"[{""mode"":""inline"",""bytes"":16,""room"":18,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""앞으로 네 여행에 도움이""},{""mode"":""inline"",""bytes"":19,""room"":20,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""될 옛 전기는 토우빌 안쪽의""}]",
1168,4/S4031.DAT,0x48516,빌드대기,좋아! 우선 전기를 손에 넣자.,2,1,1,1,0,1,"[{""mode"":""slot-A"",""bytes"":8,""room"":3,""rows"":1,""slot"":11,""disk_id"":""8C"",""span"":0,""text"":""좋아! 우선""},{""mode"":""inline"",""bytes"":10,""room"":14,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":1,""text"":""전기를 손에 넣자.""}]",
1181,4/S4033.DAT,0x47CDC,선택지,다음 정령은 그레이시누에 있다. 읽으시겠습니까?|읽는다|읽지 않는다,6,5,1,3,0,1,"[{""mode"":""inline"",""bytes"":15,""room"":16,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""다음 정령은 그레이시누에""},{""mode"":""slot-A"",""bytes"":13,""room"":6,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":1,""text"":""있다. 읽으시겠습니까?""},{""mode"":""slot-A"",""bytes"":4,""room"":2,""rows"":1,""slot"":2,""disk_id"":""83"",""span"":3,""text"":""읽는다""},{""mode"":""slot-A"",""bytes"":7,""room"":4,""rows"":1,""slot"":17,""disk_id"":""92"",""span"":5,""text"":""읽지 않는다""}]",
1215,4/S4034.DAT,0x47D30,선택지,다음 정령은 카데르에게. 읽으시겠습니까?|읽는다|읽지 않는다,6,5,1,3,0,1,"[{""mode"":""inline"",""bytes"":14,""room"":14,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""다음 정령은 카데르에게.""},{""mode"":""slot-A"",""bytes"":9,""room"":6,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":1,""text"":""읽으시겠습니까?""},{""mode"":""slot-A"",""bytes"":4,""room"":2,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":3,""text"":""읽는다""},{""mode"":""slot-A"",""bytes"":7,""room"":4,""rows"":1,""slot"":2,""disk_id"":""83"",""span"":5,""text"":""읽지 않는다""}]",
1245,4/S4035.DAT,0x47D30,선택지,다음 정령은 아리바샤에게. 읽으시겠습니까?|읽는다|읽지 않는다,6,5,1,3,0,1,"[{""mode"":""inline"",""bytes"":6,""room"":15,""rows"":1,""slot"":"""",""disk_id"":"""",""span"":0,""text"":""다음 정령은""},{""mode"":""slot-A"",""bytes"":19,""room"":6,""rows"":1,""slot"":0,""disk_id"":""81"",""span"":1,""text"":""아리바샤에게. 읽으시겠습니까?""},{""mode"":""slot-A"",""bytes"":4,""room"":2,""rows"":1,""slot"":1,""disk_id"":""82"",""span"":3,""text"":""읽는다""},{""mode"":""slot-A"",""bytes"":7,""room"":4,""rows"":1,""slot"":2,""disk_id"":""83"",""span"":5,""text"":""읽지 않는다""}]",
1267,4/S4035.DAT,0x484C8,빌드대기,내 소환 몬스터는 쓸 만한 녀석뿐이니까 말이야.,1,0,0,1,0,1,"[{""mode"":""slot-A"",""bytes"":32,""room"":29,""rows"":2,""slot"":10,""disk_id"":""8B"",""span"":0,""text"":""내 소환 몬스터는 쓸 만한 녀석뿐이니까 말이야.""}]",
