index,status,char,unicode
578,pilgi_legacy_piece_agreement,엘,U+C5D8
579,pilgi_legacy_piece_agreement,끄,U+B044
580,pilgi_legacy_piece_agreement,끌,U+B04C
581,pilgi_legacy_piece_agreement,햣,U+D5A3
582,pilgi_legacy_piece_agreement,귀,U+ADC0
583,pilgi_legacy_piece_agreement,낳,U+B0B3
584,pilgi_legacy_nonhangul,!,U+0021
585,pilgi_piece_recovered,킬,U+D0AC
586,pilgi_legacy_piece_agreement,릭,U+B9AD
587,pilgi_legacy_piece_agreement,깐,U+AE50
588,pilgi_legacy_piece_agreement,겸,U+ACB8
589,pilgi_legacy_piece_agreement,근,U+ADFC
590,pilgi_legacy_piece_agreement,랑,U+B791
591,pilgi_legacy_piece_agreement,쨌,U+CA0C
592,pilgi_legacy_piece_agreement,셈,U+C148
593,pilgi_legacy_piece_agreement,섬,U+C12C
594,pilgi_legacy_piece_agreement,퍼,U+D37C
595,pilgi_legacy_piece_agreement,획,U+D68D
596,pilgi_legacy_piece_agreement,띠,U+B760
597,pilgi_legacy_piece_agreement,므,U+BBC0
598,pilgi_legacy_piece_agreement,끼,U+B07C
599,pilgi_legacy_piece_agreement,싫,U+C2EB
600,pilgi_legacy_piece_agreement,삼,U+C0BC
601,pilgi_legacy_piece_agreement,판,U+D310
602,pilgi_legacy_piece_agreement,걱,U+AC71
603,pilgi_legacy_piece_agreement,갚,U+AC1A
604,pilgi_legacy_piece_agreement,읽,U+C77D
605,pilgi_legacy_piece_agreement,닫,U+B2EB
606,pilgi_legacy_piece_agreement,놀,U+B180
607,pilgi_legacy_piece_agreement,뭘,U+BB58
608,pilgi_legacy_piece_agreement,죄,U+C8C4
609,pilgi_legacy_piece_agreement,창,U+CC3D
610,pilgi_legacy_nonhangul,R,U+0052
611,pilgi_legacy_piece_agreement,친,U+CE5C
612,pilgi_legacy_piece_agreement,끔,U+B054
613,pilgi_legacy_piece_agreement,껏,U+AECF
614,pilgi_legacy_piece_agreement,멘,U+BA58
615,pilgi_legacy_piece_agreement,륭,U+B96D
616,pilgi_legacy_piece_agreement,쁜,U+C05C
617,pilgi_legacy_piece_agreement,널,U+B110
618,pilgi_legacy_piece_agreement,뜻,U+B73B
619,pilgi_legacy_piece_agreement,딘,U+B518
620,pilgi_legacy_piece_agreement,벽,U+BCBD
621,pilgi_legacy_piece_agreement,얼,U+C5BC
622,pilgi_legacy_piece_agreement,롭,U+B86D
623,pilgi_legacy_piece_agreement,캐,U+CE90
624,pilgi_legacy_piece_agreement,콘,U+CF58
625,pilgi_legacy_piece_agreement,칭,U+CE6D
626,pilgi_legacy_piece_agreement,텐,U+D150
627,pilgi_legacy_piece_agreement,옷,U+C637
628,pilgi_legacy_piece_agreement,흥,U+D765
629,pilgi_legacy_piece_agreement,곤,U+ACE4
630,pilgi_legacy_piece_agreement,쯤,U+CBE4
631,pilgi_legacy_piece_agreement,쩌,U+CA4C
632,pilgi_legacy_piece_agreement,업,U+C5C5
633,pilgi_legacy_piece_agreement,박,U+BC15
634,pilgi_legacy_piece_agreement,답,U+B2F5
635,pilgi_legacy_piece_agreement,꼬,U+AF2C
636,pilgi_legacy_piece_agreement,잃,U+C783
637,pilgi_legacy_piece_agreement,솟,U+C19F
638,pilgi_legacy_piece_agreement,철,U+CCA0
639,pilgi_legacy_piece_agreement,딸,U+B538
640,pilgi_piece_recovered,율,U+C728
641,pilgi_legacy_piece_agreement,뛰,U+B6F0
642,pilgi_legacy_piece_agreement,쁘,U+C058
643,pilgi_piece_recovered,득,U+B4DD
644,pilgi_legacy_piece_agreement,밤,U+BC24
645,pilgi_legacy_piece_agreement,뀌,U+B00C
646,pilgi_legacy_piece_agreement,춰,U+CDB0
647,pilgi_legacy_piece_agreement,옆,U+C606
648,pilgi_legacy_piece_agreement,쉽,U+C27D
649,pilgi_legacy_piece_agreement,콜,U+CF5C
650,pilgi_legacy_piece_agreement,녔,U+B154
651,pilgi_piece_recovered,쓴,U+C4F4
652,pilgi_legacy_piece_agreement,즘,U+C998
653,pilgi_legacy_piece_agreement,셔,U+C154
654,pilgi_legacy_piece_agreement,청,U+CCAD
655,pilgi_legacy_piece_agreement,떨,U+B5A8
656,pilgi_legacy_piece_agreement,힌,U+D78C
657,pilgi_legacy_piece_agreement,킨,U+D0A8
658,pilgi_legacy_piece_agreement,담,U+B2F4
659,pilgi_legacy_piece_agreement,짜,U+C9DC
660,pilgi_legacy_piece_agreement,취,U+CDE8
661,pilgi_legacy_piece_agreement,쉬,U+C26C
662,pilgi_legacy_piece_agreement,액,U+C561
663,pilgi_legacy_piece_agreement,슷,U+C2B7
664,pilgi_legacy_piece_agreement,급,U+AE09
665,pilgi_legacy_piece_agreement,닐,U+B2D0
666,pilgi_legacy_piece_agreement,익,U+C775
667,pilgi_piece_recovered,껐,U+AED0
668,pilgi_piece_recovered,쇠,U+C1E0
669,pilgi_legacy_piece_agreement,끊,U+B04A
670,pilgi_legacy_piece_agreement,멋,U+BA4B
671,pilgi_legacy_piece_agreement,럽,U+B7FD
672,pilgi_legacy_piece_agreement,껴,U+AEF4
673,pilgi_legacy_piece_agreement,봤,U+BD24
674,pilgi_legacy_piece_agreement,권,U+AD8C
675,pilgi_piece_recovered,뛴,U+B6F4
676,pilgi_legacy_piece_agreement,맙,U+B9D9
677,pilgi_piece_recovered,훨,U+D6E8
678,pilgi_piece_recovered,샘,U+C0D8
679,pilgi_piece_recovered,츠,U+CE20
680,pilgi_piece_recovered,순,U+C21C
681,pilgi_legacy_piece_agreement,늪,U+B2AA
682,pilgi_legacy_piece_agreement,즉,U+C989
683,pilgi_legacy_piece_agreement,교,U+AD50
684,pilgi_piece_recovered,폐,U+D3D0
685,pilgi_legacy_piece_agreement,눌,U+B20C
686,pilgi_legacy_piece_agreement,듭,U+B4ED
687,pilgi_legacy_piece_agreement,셋,U+C14B
688,pilgi_piece_recovered,켈,U+CF08
689,pilgi_piece_recovered,패,U+D328
690,pilgi_piece_recovered,맵,U+B9F5
691,pilgi_piece_recovered,줬,U+C92C
692,pilgi_piece_recovered,엽,U+C5FD
693,pilgi_piece_recovered,흩,U+D769
694,pilgi_piece_recovered,긋,U+AE0B
695,pilgi_piece_recovered,탐,U+D0D0
696,pilgi_piece_recovered,짊,U+C9CA
697,pilgi_piece_recovered,꺄,U+AE84
698,pilgi_piece_recovered,둬,U+B46C
699,pilgi_piece_recovered,뿔,U+BFD4
700,pilgi_piece_recovered,랜,U+B79C
701,pilgi_piece_recovered,탱,U+D0F1
702,pilgi_piece_recovered,옮,U+C62E
703,pilgi_piece_recovered,월,U+C6D4
704,pilgi_piece_recovered,깁,U+AE41
705,pilgi_piece_recovered,덤,U+B364
706,pilgi_piece_recovered,냈,U+B0C8
707,pilgi_piece_recovered,씬,U+C52C
708,pilgi_piece_recovered,흘,U+D758
709,pilgi_piece_recovered,존,U+C874
710,pilgi_piece_recovered,붕,U+BD95
711,pilgi_piece_recovered,휩,U+D729
712,pilgi_piece_recovered,덮,U+B36E
713,pilgi_piece_recovered,규,U+ADDC
714,pilgi_piece_recovered,뛸,U+B6F8
715,pilgi_piece_recovered,썼,U+C37C
716,pilgi_piece_recovered,즐,U+C990
717,pilgi_piece_recovered,떡,U+B5A1
718,pilgi_piece_recovered,몇,U+BA87
719,pilgi_piece_recovered,등,U+B4F1
720,pilgi_piece_recovered,념,U+B150
721,pilgi_piece_recovered,끓,U+B053
722,pilgi_piece_recovered,얽,U+C5BD
723,pilgi_piece_recovered,앙,U+C559
724,blank_preserved,,
725,blank_preserved,,
726,blank_preserved,,
727,blank_preserved,,
