char,unicode,width,occurrences,mode,code_hex,physical_index,virtual_slot,new_physical_plane,target_was_blank_in_v318
션,U+C158,2,1,virtual_static_new,EA 51,832,334,1,1
셨,U+C168,2,22,direct_existing,DD D5,432,,0,0
소,U+C18C,2,125,direct_existing,DD 07,226,,0,0
속,U+C18D,2,54,direct_existing,DD 5F,314,,0,0
손,U+C190,2,1,virtual_static_existing,E9 05,132,4,0,0
송,U+C1A1,2,13,direct_existing,DE 30,522,,0,0
쇠,U+C1E0,2,3,direct_existing,DE C2,668,,0,0
수,U+C218,2,64,virtual_static_existing,E9 8D,79,140,0,0
순,U+C21C,2,3,direct_existing,DE CE,680,,0,0
술,U+C220,2,20,direct_existing,DD E5,448,,0,0
숲,U+C232,2,33,direct_existing,DD 97,370,,0,0
슈,U+C288,2,35,direct_existing,DD 86,353,,0,0
스,U+C2A4,2,75,direct_new,DF 68,833,,1,1
슨,U+C2A8,2,31,direct_existing,DD A0,379,,0,0
슬,U+C2AC,2,18,direct_existing,DD FC,471,,0,0
습,U+C2B5,2,18,virtual_static_existing,E9 15,44,20,0,0
슷,U+C2B7,2,4,direct_existing,DE BD,663,,0,0
시,U+C2DC,2,39,virtual_static_existing,E9 93,40,146,0,0
식,U+C2DD,2,27,direct_existing,DD B5,400,,0,0
신,U+C2E0,2,11,virtual_static_existing,E9 95,61,148,0,0
실,U+C2E4,2,73,direct_existing,DD 27,258,,0,0
심,U+C2EC,2,3,virtual_static_existing,E9 97,156,150,0,0
싱,U+C2F1,2,14,direct_existing,DE 26,512,,0,0
싶,U+C2F6,2,51,direct_existing,DD 4E,297,,0,0
싸,U+C2F8,2,90,direct_existing,DD 14,239,,0,0
써,U+C368,2,24,direct_existing,DD C7,418,,0,0
썩,U+C369,2,3,virtual_static_new,E9 82,834,129,1,1
썬,U+C36C,2,1,virtual_static_new,EA 56,835,339,1,1
쓰,U+C4F0,2,35,direct_existing,DD 85,352,,0,0
쓴,U+C4F4,2,4,direct_existing,DE B1,651,,0,0
쓸,U+C4F8,2,9,direct_existing,DE 57,561,,0,0
씀,U+C500,2,11,direct_existing,DE 3B,533,,0,0
씩,U+C529,2,5,direct_new,DF 6B,836,,1,1
아,U+C544,2,47,virtual_static_existing,E9 9A,8,153,0,0
악,U+C545,2,19,direct_existing,DD EB,454,,0,0
안,U+C548,2,5,virtual_static_existing,E9 9C,147,155,0,0
않,U+C54A,2,1,virtual_static_existing,E9 03,119,2,0,0
알,U+C54C,2,79,direct_existing,DD 1E,249,,0,0
암,U+C554,2,9,virtual_static_new,EA 58,837,341,1,1
압,U+C555,2,1,virtual_static_new,EA 59,838,342,1,1
앗,U+C557,2,30,direct_existing,DD A4,383,,0,0
았,U+C558,2,69,direct_existing,DD 2D,264,,0,0
앙,U+C559,2,1,direct_existing,DE F9,723,,0,0
앞,U+C55E,2,26,direct_existing,DD BA,405,,0,0
애,U+C560,2,16,direct_existing,DE 0F,489,,0,0
액,U+C561,2,4,direct_existing,DE BC,662,,0,0
앵,U+C575,2,2,virtual_static_new,EA 5B,839,344,1,1
약,U+C57D,2,54,direct_existing,DD 48,291,,0,0
양,U+C591,2,36,direct_existing,DD 82,349,,0,0
어,U+C5B4,2,18,virtual_static_existing,E9 A1,19,160,0,0
억,U+C5B5,2,9,direct_existing,DD 52,301,,0,0
언,U+C5B8,2,68,direct_existing,DD 30,267,,0,0
얻,U+C5BB,2,32,direct_existing,DD 9C,375,,0,0
얼,U+C5BC,2,6,direct_existing,DE 93,621,,0,0
엄,U+C5C4,2,17,direct_existing,DE 03,477,,0,0
업,U+C5C5,2,5,direct_existing,DE 9E,632,,0,0
없,U+C5C6,2,6,virtual_static_existing,E9 A3,112,162,0,0
엇,U+C5C7,2,29,direct_existing,DD A8,387,,0,0
었,U+C5C8,2,12,virtual_static_existing,E9 1A,96,25,0,0
에,U+C5D0,2,25,virtual_static_existing,E9 A4,13,163,0,0
엑,U+C5D1,2,2,virtual_static_new,E9 73,864,114,1,1
엔,U+C5D4,2,10,direct_existing,DE 44,542,,0,0
엘,U+C5D8,2,8,direct_existing,DE 68,578,,0,0
여,U+C5EC,2,7,virtual_static_existing,E9 A5,25,164,0,0
역,U+C5ED,2,34,direct_existing,DD 91,364,,0,0
연,U+C5F0,2,28,direct_existing,DD AD,392,,0,0
열,U+C5F4,2,35,direct_existing,DD 89,356,,0,0
염,U+C5FC,2,3,virtual_static_new,EA 60,866,349,1,1
엽,U+C5FD,2,2,direct_existing,DE DA,692,,0,0
였,U+C600,2,15,direct_existing,DE 16,496,,0,0
영,U+C601,2,18,direct_existing,DD FA,469,,0,0
옆,U+C606,2,4,direct_existing,DE AD,647,,0,0
예,U+C608,2,2,virtual_static_existing,E9 25,150,36,0,0
옛,U+C61B,2,10,direct_existing,DE 4E,552,,0,0
오,U+C624,2,7,virtual_static_existing,E9 A8,69,167,0,0
옥,U+C625,2,11,direct_existing,DE 39,531,,0,0
온,U+C628,2,47,direct_existing,DD 5C,311,,0,0
올,U+C62C,2,3,virtual_static_existing,E9 AA,152,169,0,0
옮,U+C62E,2,2,direct_existing,DE E4,702,,0,0
옷,U+C637,2,5,direct_existing,DE 99,627,,0,0
와,U+C640,2,7,virtual_static_existing,E9 AC,135,171,0,0
왔,U+C654,2,35,direct_existing,DD 88,355,,0,0
왕,U+C655,2,6,virtual_static_existing,E9 AD,105,172,0,0
왠,U+C660,2,1,virtual_static_new,E9 D5,867,212,1,1
요,U+C694,2,18,virtual_static_existing,E9 AF,43,174,0,0
욕,U+C695,2,20,direct_existing,DD E3,446,,0,0
용,U+C6A9,2,84,direct_existing,DD 1A,245,,0,0
우,U+C6B0,2,12,virtual_static_existing,E9 B1,60,176,0,0
운,U+C6B4,2,4,virtual_static_existing,E9 B2,133,177,0,0
울,U+C6B8,2,34,direct_existing,DD 92,365,,0,0
움,U+C6C0,2,41,direct_existing,DD 70,331,,0,0
워,U+C6CC,2,44,direct_existing,DD 68,323,,0,0
원,U+C6D0,2,12,virtual_static_existing,E9 B5,122,180,0,0
월,U+C6D4,2,2,direct_existing,DE E5,703,,0,0
위,U+C704,2,6,virtual_static_existing,E9 B6,141,181,0,0
윈,U+C708,2,1,virtual_static_new,EA 64,868,353,1,1
유,U+C720,2,10,virtual_static_existing,E9 B7,137,182,0,0
으,U+C73C,2,13,direct_new,DF 8C,869,,1,1
은,U+C740,2,7,virtual_static_existing,E9 BA,37,185,0,0
을,U+C744,2,23,virtual_static_existing,E9 BB,12,186,0,0
음,U+C74C,2,33,virtual_static_existing,E9 BC,140,187,0,0
응,U+C751,2,15,direct_existing,DE 17,497,,0,0
의,U+C758,2,83,virtual_static_existing,E9 BD,14,188,0,0
이,U+C774,2,1447,direct_existing,DD 01,220,,0,0
익,U+C775,2,4,direct_existing,DE C0,666,,0,0
인,U+C778,2,11,virtual_static_existing,E9 BF,52,190,0,0
일,U+C77C,2,9,virtual_static_existing,E9 C0,106,191,0,0
읽,U+C77D,2,6,direct_existing,DE 82,604,,0,0
임,U+C784,2,25,direct_existing,DD C2,413,,0,0
입,U+C785,2,3,virtual_static_existing,E9 C2,126,193,0,0
있,U+C788,2,8,virtual_static_existing,E9 04,30,3,0,0
잊,U+C78A,2,16,direct_existing,DE 11,491,,0,0
잎,U+C78E,2,10,virtual_static_new,EA 66,870,355,1,1
자,U+C790,2,11,virtual_static_existing,E9 C3,39,194,0,0
작,U+C791,2,45,direct_existing,DD 64,319,,0,0
잔,U+C794,2,3,virtual_static_new,EA 67,871,356,1,1
잖,U+C796,2,25,direct_existing,DD BC,407,,0,0
잘,U+C798,2,51,direct_existing,DD 4F,298,,0,0
잠,U+C7A0,2,17,direct_existing,DE 04,478,,0,0
잡,U+C7A1,2,16,direct_existing,DE 10,490,,0,0
장,U+C7A5,2,22,virtual_static_existing,E9 C7,85,198,0,0
저,U+C800,2,73,direct_existing,DD 24,255,,0,0
적,U+C801,2,105,direct_existing,DD 09,228,,0,0
전,U+C804,2,17,virtual_static_existing,E9 CA,78,201,0,0
절,U+C808,2,22,direct_existing,DD DA,437,,0,0
점,U+C810,2,23,direct_existing,DD D0,427,,0,0
정,U+C815,2,52,virtual_static_existing,E9 CD,48,204,0,0
제,U+C81C,2,6,virtual_static_existing,E9 CE,101,205,0,0
젤,U+C824,2,1,virtual_static_new,EA 68,872,357,1,1
져,U+C838,2,45,direct_existing,DD 63,318,,0,0
졌,U+C84C,2,18,direct_existing,DD FD,472,,0,0
조,U+C870,2,3,virtual_static_existing,E9 D0,143,207,0,0
족,U+C871,2,38,direct_existing,DD 7A,341,,0,0
존,U+C874,2,2,direct_existing,DE EB,709,,0,0
좋,U+C88B,2,94,direct_existing,DD 0D,232,,0,0
죄,U+C8C4,2,6,direct_existing,DE 86,608,,0,0
주,U+C8FC,2,11,virtual_static_existing,E9 D4,63,211,0,0
죽,U+C8FD,2,33,direct_existing,DD 94,367,,0,0
준,U+C900,2,41,direct_existing,DD 6F,330,,0,0
줄,U+C904,2,36,direct_existing,DD 81,348,,0,0
중,U+C911,2,40,direct_existing,DD 73,334,,0,0
줘,U+C918,2,19,direct_existing,DD EA,453,,0,0
줬,U+C92C,2,2,direct_existing,DE D9,691,,0,0
즉,U+C989,2,3,direct_existing,DE D0,682,,0,0
즌,U+C98C,2,2,virtual_static_new,EA 69,873,358,1,1
즘,U+C998,2,4,direct_existing,DE B2,652,,0,0
증,U+C99D,2,17,direct_existing,DE 09,483,,0,0
지,U+C9C0,2,70,virtual_static_existing,E9 D9,3,216,0,0
직,U+C9C1,2,37,direct_existing,DD 7C,343,,0,0
진,U+C9C4,2,61,direct_existing,DD 3F,282,,0,0
질,U+C9C8,2,28,direct_existing,DD AA,389,,0,0
집,U+C9D1,2,20,direct_existing,DD E2,445,,0,0
짓,U+C9D3,2,15,direct_existing,DE 1C,502,,0,0
짜,U+C9DC,2,4,direct_existing,DE B9,659,,0,0
째,U+C9F8,2,36,direct_existing,DD 7E,345,,0,0
쨌,U+CA0C,2,7,direct_existing,DE 75,591,,0,0
쩌,U+CA4C,2,5,direct_existing,DE 9D,631,,0,0
쪽,U+CABD,2,43,direct_existing,DD 69,324,,0,0
쯤,U+CBE4,2,5,direct_existing,DE 9C,630,,0,0
찌,U+CC0C,2,10,direct_existing,DE 56,560,,0,0
찍,U+CC0D,2,1,virtual_static_new,EA 6C,874,361,1,1
차,U+CC28,2,26,direct_existing,DD B7,402,,0,0
착,U+CC29,2,10,direct_existing,DE 4B,549,,0,0
찬,U+CC2C,2,11,direct_existing,DE 18,498,,0,0
찮,U+CC2E,2,63,direct_existing,DD 3A,277,,0,0
참,U+CC38,2,52,direct_existing,DD 4C,295,,0,0
창,U+CC3D,2,6,direct_existing,DE 87,609,,0,0
찾,U+CC3E,2,49,direct_existing,DD 56,305,,0,0
책,U+CC45,2,11,direct_existing,DE 43,541,,0,0
챔,U+CC54,2,2,virtual_static_new,E9 7C,875,123,1,1
처,U+CC98,2,34,direct_existing,DD 8F,362,,0,0
척,U+CC99,2,2,virtual_static_new,EA 71,876,366,1,1
천,U+CC9C,2,19,direct_existing,DD E7,450,,0,0
철,U+CCA0,2,5,direct_existing,DE A4,638,,0,0
청,U+CCAD,2,4,direct_existing,DE B4,654,,0,0
체,U+CCB4,2,34,direct_existing,DD 90,363,,0,0
쳤,U+CCE4,2,4,virtual_static_new,E9 28,877,39,1,1
초,U+CD08,2,6,virtual_static_existing,E9 E3,56,226,0,0
촌,U+CD0C,2,6,virtual_static_existing,E9 E4,149,227,0,0
최,U+CD5C,2,14,direct_existing,DE 27,513,,0,0
추,U+CD94,2,1,virtual_static_new,EA 72,878,367,1,1
축,U+CD95,2,18,direct_existing,DE 02,476,,0,0
출,U+CD9C,2,1,virtual_static_existing,E9 32,117,49,0,0
춰,U+CDB0,2,4,direct_existing,DE AC,646,,0,0
취,U+CDE8,2,4,direct_existing,DE BA,660,,0,0
츠,U+CE20,2,3,direct_existing,DE CD,679,,0,0
층,U+CE35,2,10,direct_existing,DE 50,554,,0,0
치,U+CE58,2,87,direct_existing,DD 1F,250,,0,0
친,U+CE5C,2,6,direct_existing,DE 89,611,,0,0
칠,U+CE60,2,8,direct_existing,DE 61,571,,0,0
침,U+CE68,2,17,direct_existing,DE 06,480,,0,0
칭,U+CE6D,2,6,direct_existing,DE 97,625,,0,0
카,U+CE74,2,65,direct_existing,DD 38,275,,0,0
칸,U+CE78,2,1,virtual_static_new,EA 76,879,371,1,1
캐,U+CE90,2,6,direct_existing,DE 95,623,,0,0
커,U+CEE4,2,18,direct_existing,DD F6,465,,0,0
컬,U+CEEC,2,1,virtual_static_new,EA 77,880,372,1,1
케,U+CF00,2,18,direct_existing,DD F8,467,,0,0
켈,U+CF08,2,3,direct_existing,DE D6,688,,0,0
켜,U+CF1C,2,23,direct_existing,DD CB,422,,0,0
코,U+CF54,2,59,direct_existing,DD 40,283,,0,0
콘,U+CF58,2,6,direct_existing,DE 96,624,,0,0
콜,U+CF5C,2,4,direct_existing,DE AF,649,,0,0
쿠,U+CFE0,2,99,direct_existing,DD 0C,231,,0,0
큐,U+D050,2,1,virtual_static_new,EA 9D,881,410,1,1
크,U+D06C,2,22,virtual_static_existing,E9 EC,87,235,0,0
큭,U+D06D,2,1,virtual_static_new,E9 47,882,70,1,1
큰,U+D070,2,33,direct_existing,DD 98,371,,0,0
큼,U+D07C,2,11,direct_existing,DD F5,464,,0,0
키,U+D0A4,2,27,direct_existing,DD B3,398,,0,0
킨,U+D0A8,2,4,direct_existing,DE B7,657,,0,0
타,U+D0C0,2,36,direct_existing,DD 7F,346,,0,0
탁,U+D0C1,2,17,direct_existing,DE 05,479,,0,0
탄,U+D0C4,2,31,direct_existing,DD D1,428,,0,0
탈,U+D0C8,2,16,direct_existing,DE 14,494,,0,0
탐,U+D0D0,2,2,direct_existing,DE DD,695,,0,0
택,U+D0DD,2,8,virtual_static_new,E9 33,883,50,1,1
탱,U+D0F1,2,2,direct_existing,DE E3,701,,0,0
터,U+D130,2,40,virtual_static_existing,E9 F3,1,242,0,0
턴,U+D134,2,11,direct_existing,DE 42,540,,0,0
털,U+D138,2,2,direct_new,DF 4B,804,,1,0
텀,U+D140,2,1,virtual_static_new,EA 7E,805,379,1,0
텅,U+D145,2,2,direct_new,DF 4D,806,,1,0
테,U+D14C,2,25,direct_existing,DD BE,409,,0,0
텐,U+D150,2,5,direct_existing,DE 98,626,,0,0
텔,U+D154,2,1,virtual_static_new,EA 80,807,381,1,0
템,U+D15C,2,46,direct_existing,DD 5E,313,,0,0
토,U+D1A0,2,10,virtual_static_existing,E9 F4,130,243,0,0
톤,U+D1A4,2,32,direct_existing,DD 9A,373,,0,0
톨,U+D1A8,2,19,direct_existing,DD F0,459,,0,0
톰,U+D1B0,2,1,virtual_static_new,EA 83,808,384,1,0
통,U+D1B5,2,12,direct_existing,DD D7,434,,0,0
퇴,U+D1F4,2,4,virtual_static_new,EA 84,809,385,1,0
투,U+D22C,2,64,direct_existing,DD 39,276,,0,0
트,U+D2B8,2,48,direct_existing,DD 5B,310,,0,0
특,U+D2B9,2,11,direct_existing,DE 3A,532,,0,0
튼,U+D2BC,2,18,direct_existing,DD F7,466,,0,0
티,U+D2F0,2,5,virtual_static_new,EA 86,810,387,1,0
파,U+D30C,2,38,direct_existing,DD 7B,342,,0,0
팔,U+D314,2,42,direct_existing,DD 6C,327,,0,0
팡,U+D321,2,1,virtual_static_new,EA 87,811,388,1,0
패,U+D328,2,3,direct_existing,DE D7,689,,0,0
팬,U+D32C,2,1,virtual_static_new,EA 89,812,390,1,0
퍼,U+D37C,2,7,direct_existing,DE 78,594,,0,0
펀,U+D380,2,1,virtual_static_new,EA 8A,813,391,1,0
페,U+D398,2,22,virtual_static_new,EA 9E,814,411,1,0
편,U+D3B8,2,38,direct_existing,DD 79,340,,0,0
평,U+D3C9,2,12,direct_existing,DE 34,526,,0,0
포,U+D3EC,2,38,direct_existing,DD 78,339,,0,0
폭,U+D3ED,2,47,direct_existing,DD 62,317,,0,0
폴,U+D3F4,2,1,virtual_static_new,EA 8B,815,392,1,0
표,U+D45C,2,35,direct_existing,DD 8A,357,,0,0
풀,U+D480,2,10,direct_existing,DE 45,543,,0,0
풍,U+D48D,2,13,direct_existing,DE 2E,520,,0,0
프,U+D504,2,32,direct_existing,DD 9D,376,,0,0
플,U+D50C,2,12,direct_existing,DE 36,528,,0,0
피,U+D53C,2,62,direct_existing,DD 3C,279,,0,0
필,U+D544,2,10,direct_existing,DE 4A,548,,0,0
하,U+D558,2,34,virtual_static_existing,EA 07,24,260,0,0
한,U+D55C,2,4,virtual_static_existing,EA 08,82,261,0,0
할,U+D560,2,1,direct_new,DF 57,816,,1,0
함,U+D568,2,23,direct_existing,DD CF,426,,0,0
합,U+D569,2,82,direct_existing,DD 1D,248,,0,0
항,U+D56D,2,1,direct_existing,DD F2,461,,0,0
해,U+D574,2,26,virtual_static_existing,EA 0C,42,265,0,0
했,U+D588,2,93,direct_existing,DD 0F,234,,0,0
행,U+D589,2,68,direct_existing,DD 31,268,,0,0
햣,U+D5A3,2,8,direct_existing,DE 6B,581,,0,0
향,U+D5A5,2,27,direct_existing,DD B2,397,,0,0
허,U+D5C8,2,10,direct_existing,DE 48,546,,0,0
험,U+D5D8,2,50,direct_existing,DD 54,303,,0,0
헤,U+D5E4,2,25,direct_existing,DD C3,414,,0,0
혀,U+D600,2,10,direct_existing,DE 4D,551,,0,0
현,U+D604,2,1,virtual_static_new,EA 8E,817,395,1,0
형,U+D615,2,37,direct_existing,DD 7D,344,,0,0
혜,U+D61C,2,53,direct_existing,DD 4B,294,,0,0
호,U+D638,2,4,virtual_static_existing,EA 8F,148,396,0,0
확,U+D655,2,16,direct_existing,DE 2B,517,,0,0
활,U+D65C,2,23,direct_existing,DD E1,444,,0,0
황,U+D669,2,11,direct_existing,DE 3C,534,,0,0
회,U+D68C,2,25,virtual_static_existing,EA 16,121,275,0,0
획,U+D68D,2,7,direct_existing,DE 79,595,,0,0
횟,U+D69F,2,8,direct_existing,DE 1B,501,,0,0
효,U+D6A8,2,14,direct_existing,DE 24,510,,0,0
후,U+D6C4,2,34,direct_existing,DD 8D,360,,0,0
훌,U+D6CC,2,6,direct_existing,DD 74,335,,0,0
훗,U+D6D7,2,11,direct_existing,DE 41,539,,0,0
휩,U+D729,2,1,direct_existing,DE ED,711,,0,0
흑,U+D751,2,1,virtual_static_new,EA 93,818,400,1,0
흘,U+D758,2,2,direct_existing,DE EA,708,,0,0
흡,U+D761,2,1,virtual_static_new,EA 94,821,401,1,0
흥,U+D765,2,5,direct_existing,DE 9A,628,,0,0
희,U+D76C,2,57,direct_existing,DD 43,286,,0,0
히,U+D788,2,48,direct_existing,DD 59,308,,0,0
힌,U+D78C,2,4,direct_existing,DE B6,656,,0,0
힐,U+D790,2,1,virtual_static_new,EA 97,822,404,1,0
힘,U+D798,2,4,virtual_static_existing,EA 18,115,277,0,0
